X1;X2;value
MD2;MD1;0.4006269
MD3;MD1;0.410748
MD4;MD1;0.2035294
MD5;MD1;0.2441425
MD6;MD1;0.3910046
MD7;MD1;0.3504251
MD8;MD1;0.3394662
MD9;MD1;0.0381989
MD10;MD1;0.6467553
MD11;MD1;0.7038685
MP1;MD1;0.6036427
MP2;MD1;-0.115712
MP3;MD1;0.7244243
MP4;MD1;0.7926459
MP5;MD1;0.3414877
MP6;MD1;0.740915
MP7;MD1;0.6289543
MD2;MD2;NA
MD3;MD2;0.4513888
MD4;MD2;0.6464012
MD5;MD2;0.3977463
MD6;MD2;0.6739474
MD7;MD2;0.528117
MD8;MD2;0.1594122
MD9;MD2;0.5084614
MD10;MD2;0.5381034
MD11;MD2;0.393174
MP1;MD2;0.4839328
MP2;MD2;-0.5394945
MP3;MD2;0.471721
MP4;MD2;0.6755922
MP5;MD2;0.0591104
MP6;MD2;0.4815213
MP7;MD2;0.2565071
MD2;MD3;NA
MD3;MD3;NA
MD4;MD3;0.50016207
MD5;MD3;0.86231784
MD6;MD3;0.58543439
MD7;MD3;0.51519192
MD8;MD3;0.04152847
MD9;MD3;0.33965078
MD10;MD3;0.78950625
MD11;MD3;0.46906257
MP1;MD3;0.43217371
MP2;MD3;-0.41396877
MP3;MD3;0.53588547
MP4;MD3;0.44212542
MP5;MD3;0.08172238
MP6;MD3;0.7117759
MP7;MD3;0.43051337
MD2;MD4;NA
MD3;MD4;NA
MD4;MD4;NA
MD5;MD4;0.43063851
MD6;MD4;0.89623504
MD7;MD4;0.3051851
MD8;MD4;0.23382731
MD9;MD4;0.41909177
MD10;MD4;0.51951105
MD11;MD4;-0.03062534
MP1;MD4;0.32023358
MP2;MD4;-0.62691274
MP3;MD4;0.24849951
MP4;MD4;0.4644246
MP5;MD4;-0.12664986
MP6;MD4;0.44640271
MP7;MD4;0.2141053
MD2;MD5;NA
MD3;MD5;NA
MD4;MD5;NA
MD5;MD5;NA
MD6;MD5;0.55218063
MD7;MD5;0.51163585
MD8;MD5;0.01827539
MD9;MD5;0.21691382
MD10;MD5;0.60768738
MD11;MD5;0.41179986
MP1;MD5;0.24915071
MP2;MD5;-0.19628625
MP3;MD5;0.28049515
MP4;MD5;0.25046857
MP5;MD5;0.14096527
MP6;MD5;0.51072289
MP7;MD5;0.27894173
MD2;MD6;NA
MD3;MD6;NA
MD4;MD6;NA
MD5;MD6;NA
MD6;MD6;NA
MD7;MD6;0.32776066
MD8;MD6;0.36937558
MD9;MD6;0.41661318
MD10;MD6;0.59230778
MD11;MD6;0.16583408
MP1;MD6;0.47375005
MP2;MD6;-0.59523374
MP3;MD6;0.4023871
MP4;MD6;0.59693353
MP5;MD6;0.05418062
MP6;MD6;0.59977015
MP7;MD6;0.37986409
MD2;MD7;NA
MD3;MD7;NA
MD4;MD7;NA
