X1;X2;value
MD2;MD1;1
MD3;MD1;1
MD4;MD1;1
MD5;MD1;1
MD6;MD1;1
MD7;MD1;1
MD8;MD1;1
MD9;MD1;1
MD10;MD1;0.0092
MD11;MD1;0.0034
MP1;MD1;0.0172
MP2;MD1;1
MP3;MD1;0.0023
MP4;MD1;0.0004
MP5;MD1;1
MP6;MD1;0.0016
MP7;MD1;0.012
MD2;MD2;NA
MD3;MD2;1
MD4;MD2;0.0092
MD5;MD2;1
MD6;MD2;0.0059
MD7;MD2;0.043
MD8;MD2;1
MD9;MD2;1
MD10;MD2;0.0385
MD11;MD2;1
MP1;MD2;1
MP2;MD2;0.0379
MP3;MD2;1
MP4;MD2;0.0057
MP5;MD2;1
MP6;MD2;0.0692
MP7;MD2;1
MD2;MD3;NA
MD3;MD3;NA
MD4;MD3;1
MD5;MD3;0.0001
MD6;MD3;0.0219
MD7;MD3;0.0494
MD8;MD3;1
MD9;MD3;1
MD10;MD3;0.0005
MD11;MD3;1
MP1;MD3;1
MP2;MD3;1
MP3;MD3;0.0395
MP4;MD3;1
MP5;MD3;1
MP6;MD3;0.0029
MP7;MD3;1
MD2;MD4;NA
MD3;MD4;NA
MD4;MD4;NA
MD5;MD4;1
MD6;MD4;0
MD7;MD4;1
MD8;MD4;1
MD9;MD4;1
MD10;MD4;0.0472
MD11;MD4;1
MP1;MD4;1
MP2;MD4;0.0124
MP3;MD4;1
MP4;MD4;1
MP5;MD4;1
MP6;MD4;1
MP7;MD4;1
MD2;MD5;NA
MD3;MD5;NA
MD4;MD5;NA
MD5;MD5;NA
MD6;MD5;0.0328
MD7;MD5;1
MD8;MD5;1
MD9;MD5;1
MD10;MD5;0.0163
MD11;MD5;1
MP1;MD5;1
MP2;MD5;1
MP3;MD5;1
MP4;MD5;1
MP5;MD5;1
MP6;MD5;1
MP7;MD5;1
MD2;MD6;NA
MD3;MD6;NA
MD4;MD6;NA
MD5;MD6;NA
MD6;MD6;NA
MD7;MD6;1
MD8;MD6;1
MD9;MD6;1
MD10;MD6;0.02
MD11;MD6;1
MP1;MD6;1
MP2;MD6;0.0192
MP3;MD6;1
MP4;MD6;0.0188
MP5;MD6;1
MP6;MD6;0.0181
MP7;MD6;1
MD2;MD7;NA
MD3;MD7;NA
MD4;MD7;NA
MD5;MD7;NA
MD6;MD7;NA
MD7;MD7;NA
MD8;MD7;1
MD9;MD7;0.0485
MD10;MD7;1
MD11;MD7;1
MP1;MD7;1
MP2;MD7;1
MP3;MD7;1
MP4;MD7;0.0283
MP5;MD7;1
MP6;MD7;1
MP7;MD7;1
MD2;MD8;NA
MD3;MD8;NA
MD4;MD8;NA
MD5;MD8;NA
MD6;MD8;NA
MD7;MD8;NA
MD8;MD8;NA
MD9;MD8;1
MD10;MD8;1
MD11;MD8;1
MP1;MD8;1
MP2;MD8;1
MP3;MD8;1
MP4;MD8;1
MP5;MD8;1
MP6;MD8;1
MP7;MD8;1
MD2;MD9;NA
MD3;MD9;NA
MD4;MD9;NA
MD5;MD9;NA
MD6;MD9;NA
MD7;MD9;NA
MD8;MD9;NA
MD9;MD9;NA
MD10;MD9;1
MD11;MD9;1
MP1;MD9;1
MP2;MD9;1
MP3;MD9;1
MP4;MD9;1
MP5;MD9;1
MP6;MD9;1
MP7;MD9;1
MD2;MD10;NA
MD3;MD10;NA
MD4;MD10;NA
MD5;MD10;NA
MD6;MD10;NA
MD7;MD10;NA
MD8;MD10;NA
MD9;MD10;NA
MD10;MD10;NA
MD11;MD10;0.003
MP1;MD10;0.0003
MP2;MD10;1
MP3;MD10;0.0005
MP4;MD10;0.0024
MP5;MD10;1
MP6;MD10;0
MP7;MD10;0.0008
MD2;MD11;NA
MD3;MD11;NA
MD4;MD11;NA
MD5;MD11;NA
MD6;MD11;NA
MD7;MD11;NA
MD8;MD11;NA
MD9;MD11;NA
MD10;MD11;NA
MD11;MD11;NA
MP1;MD11;0.0038
MP2;MD11;1
MP3;MD11;0.0007
MP4;MD11;0.0095
MP5;MD11;0.0288
MP6;MD11;0.009
MP7;MD11;0.0044
MD2;MP1;NA
MD3;MP1;NA
MD4;MP1;NA
MD5;MP1;NA
MD6;MP1;NA
MD7;MP1;NA
MD8;MP1;NA
MD9;MP1;NA
MD10;MP1;NA
MD11;MP1;NA
MP1;MP1;NA
MP2;MP1;1
MP3;MP1;0.0001
MP4;MP1;0.0028
MP5;MP1;0.0096
MP6;MP1;0.0002
MP7;MP1;0
MD2;MP2;NA
MD3;MP2;NA
MD4;MP2;NA
MD5;MP2;NA
MD6;MP2;NA
MD7;MP2;NA
MD8;MP2;NA
MD9;MP2;NA
MD10;MP2;NA
MD11;MP2;NA
MP1;MP2;NA
MP2;MP2;NA
MP3;MP2;1
MP4;MP2;1
MP5;MP2;1
MP6;MP2;1
MP7;MP2;1
MD2;MP3;NA
MD3;MP3;NA
MD4;MP3;NA
MD5;MP3;NA
MD6;MP3;NA
MD7;MP3;NA
MD8;MP3;NA
MD9;MP3;NA
MD10;MP3;NA
MD11;MP3;NA
MP1;MP3;NA
MP2;MP3;NA
MP3;MP3;NA
MP4;MP3;0.0049
MP5;MP3;0.0286
MP6;MP3;0
MP7;MP3;0
MD2;MP4;NA
MD3;MP4;NA
MD4;MP4;NA
MD5;MP4;NA
MD6;MP4;NA
MD7;MP4;NA
MD8;MP4;NA
MD9;MP4;NA
MD10;MP4;NA
MD11;MP4;NA
MP1;MP4;NA
MP2;MP4;NA
MP3;MP4;NA
MP4;MP4;NA
MP5;MP4;1
MP6;MP4;0.0039
MP7;MP4;0.0242
MD2;MP5;NA
MD3;MP5;NA
MD4;MP5;NA
MD5;MP5;NA
MD6;MP5;NA
MD7;MP5;NA
MD8;MP5;NA
MD9;MP5;NA
MD10;MP5;NA
MD11;MP5;NA
MP1;MP5;NA
MP2;MP5;NA
MP3;MP5;NA
MP4;MP5;NA
MP5;MP5;NA
MP6;MP5;0.0252
MP7;MP5;0.0014
MD2;MP6;NA
MD3;MP6;NA
MD4;MP6;NA
MD5;MP6;NA
MD6;MP6;NA
MD7;MP6;NA
MD8;MP6;NA
MD9;MP6;NA
MD10;MP6;NA
MD11;MP6;NA
MP1;MP6;NA
MP2;MP6;NA
MP3;MP6;NA
MP4;MP6;NA
MP5;MP6;NA
MP6;MP6;NA
MP7;MP6;0
