MD1;MD2;MD3;MD4;MD5;MD6;MD7;MD8;MD9;MD10;MD11;F;name;Inb
0;0.62;0.74;0.62;0.68148;1;0.66;0.2;0.52;0.3;0.54;Low F;Maximilian I;0.0003
0;0.02273;0.48485;0.02273;0.20833;0;0.11364;0.20455;0.2803;0;0.15909;high F;Mary of Burgundy;0.0766
0;0.05;0.55;0.1;0.45;0;0.5;0.05;0.1;0.1;0.4;Low F;Philip I;0.0253
0;0.04545;0.68182;0;0.74242;0;0.63636;0.03333;0.56818;0.13636;0.61364;Low F;Joana of Castile;0.0394
0.04;0.28;0.86;0.42;0.79;0.68;0.2;0.16;0.355;0.52;0.78;Low F;Charles I;0.0375
0.06818;0.21212;0.39394;0.04545;0.45455;0.21212;0.04545;0.25;0.06818;0;0.24242;high F;Isabella of Portugal;0.1006
0.18333;0.24444;0.66667;0.17778;0.38333;0.08889;0.02222;0.17778;0.13333;0.33889;0.86667;high F;Philip II;0.1234
0.63636;0.72727;0.54545;0.18182;0.45455;0;0.27273;0.09091;0;0;0.54545;high F;Mary of Portugal;0.1234
0;0.05455;0.25;0.22273;0.05455;0.14545;0.18636;0.12727;0.45455;0;0.09091;Low F;Elisabeth of Valois;0.0013
0.09091;0.29091;0.49091;0.09091;0.47727;0.03636;0.41818;0.05455;0.25455;0.03636;0.49091;high F;Anna of Austria;0.1064
0.06667;0.26667;0.36667;0.03333;0.21667;0.06667;0.3;0.16667;0.36667;0.26667;1;high F;Philip III;0.2177
0.29545;0.52273;0.88636;0.29545;0.64394;0.70455;1;0.11364;0.70455;0.47727;0.79545;high F;Margaret of Austria;0.1391
0.3;0.25;0.775;0.4;0.725;0.825;0.65;0.33333;0.1;0.5;1;high F;Philip IV;0.1145
0.15152;0.24242;0.33333;0.07576;0.25758;0.16667;0.48485;0.09091;0.57576;0.01515;0.48485;Low F;Elisabeth of France;0.0076
0.09091;0.29091;0.50909;0.16364;0.41818;0;0.81818;0.12727;0.38182;0.27273;0.50455;high F;Mariana of Austria;0.1559
0.1;0.375;0.725;0.2;0.625;0.25;1;0.25833;0.325;0.35;0.925;high F;Charles II;0.2539
