"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324643",1720.2358,8601.179,5,129309.286,102484.035,26808.032,2169.402,NA,NA,0.00298544966336727,"SC324643"
"2","SC324659",1729.12683333333,10374.761,6,128426.917,92896.462,36725.611,2150.641,NA,NA,0.00360105594069905,"SC324659"
"3","SC324660",1911.7428,19117.428,10,127905.608,86790.492,39835.049,8108.88800000001,NA,NA,0.00663561576698358,"SC324660"
"4","SC324663",1873.8415,7495.366,4,131250.312,106967.251,25505.377,2398.54800000001,NA,NA,0.00260162448677263,"SC324663"
"5","SC324669",1805.9996,9029.998,5,123542.66,95313.501,23769.93,4252.79000000001,NA,NA,0.0031342917627115,"SC324669"
"6","SC324682",NA,NA,NA,138808.474,104485.199,29906.264,NA,NA,NA,NA,"SC324682"
"7","SC324686",1901.85466666667,22822.256,12,115322.433,109559.814,32711.4,11121.63,NA,NA,0.00792155313736427,"SC324686"
"8","SC324688",2068.21375,8272.855,4,128233.085,101277.035,16999.899,6704.80100000001,NA,NA,0.00287148914989866,"SC324688"
"9","SC324700",1697.7908,8488.954,5,139763.809,91076.404,32630.305,NA,NA,NA,0.0029464966211772,"SC324700"
"10","SC324702",2061.94611111111,18557.515,9,139055.036,80112.374,35422.062,10097.714,NA,NA,0.00644127123847592,"SC324702"
"11","SC324705",1943.0486,9715.243,5,129407.334,95062.502,27386.421,4516.66799999998,NA,NA,0.00337213874329103,"SC324705"
"12","SC324713",1880.3295,3760.659,2,130435.505,92747.62,28258.475,2187.68899999998,NA,NA,0.00130531618346614,"SC324713"
"13","SC324716",1896.22111111111,17065.99,9,132164.436,94657.122,43560.723,4904.73300000001,NA,NA,0.00592356630416937,"SC324716"
"14","SC324721",1760.46775,14083.742,8,134183.69,101943.353,25318.271,4272.076,NA,NA,0.00488843480793174,"SC324721"
"15","SC324724",1979.88925,7919.557,4,132765.744,108163.127,35262.579,2971.09499999997,NA,NA,0.00274886021784547,"SC324724"
"16","SC324726",1628.83371428571,11401.836,7,136148.447,95656.833,37118.666,NA,NA,NA,0.00395755133662127,"SC324726"
"17","SC324742",1875.26633333333,16877.397,9,129178.335,89123.282,30027.756,5409.94400000002,NA,NA,0.00585810610291517,"SC324742"
"18","SC324748",2474.307,9897.228,4,138867.287,92573.123,17789.545,8162.00400000002,NA,NA,0.00343530532277832,"SC324748"
"19","SC324764",1917.01383333333,11502.083,6,133579.001,102731.263,25428.209,6192.83100000001,NA,NA,0.00399234684226109,"SC324764"
"20","SC324766",1737.88042857143,12165.163,7,123106.794,98263.936,41796.291,2193.283,NA,NA,0.00422250040176562,"SC324766"
"21","SC324775",1623.48733333333,4870.462,3,122452.695,114196.228,22649.663,NA,NA,NA,0.0016905262799836,"SC324775"
"22","SC324785",2607.176,20857.408,8,118281.285,95833.597,32429.611,6857.68900000001,7249.57000000001,NA,0.00723955886655932,"SC324785"
"23","SC324809",2614.66225,10458.649,4,133855.857,92561.485,20132.602,8791.663,NA,NA,0.00363017327465531,"SC324809"
"24","SC333417",2171.41522222222,19542.737,9,134963.01,95477.314,36858.177,9375.625,NA,NA,0.006783239553313,"SC333417"
"25","SC333427",2500.706375,20005.651,8,135369.465,100828.314,33597.224,6421.424,8343.859,NA,0.00694391594959169,"SC333427"
"26","SC333429",2088.4028,10442.014,5,137458.352,96528.824,24239.565,7185.698,NA,NA,0.00362439930399964,"SC333429"
"27","SC333455",1964.465,11786.79,6,138521.666,104879.268,38774.717,5253.93599999999,NA,NA,0.00409116799425762,"SC333455"
"28","SC333462",1868.662,18686.62,10,134186.479,99617.776,38804.395,5438.962,NA,NA,0.00648608329026429,"SC333462"
"29","SC333481",2111.31485714286,14779.204,7,123868.37,104181.298,32016.715,9423.47900000002,NA,NA,0.00512982808596778,"SC333481"
"30","SC333482",1828.672,14629.376,8,135510.152,94279.249,34582.423,2355.49699999997,NA,NA,0.00507782312802387,"SC333482"
"31","SC333507",1991.578,5974.734,3,139044.008,94834.635,30449.144,4459.93699999998,NA,NA,0.002073816578984,"SC333507"
"32","SC333510",1932.66727272727,21259.34,11,121861.174,100864.733,41408.976,7195.07500000001,NA,NA,0.00737906854937101,"SC333510"
"33","SC333521",1683.82116666667,10102.927,6,123208.033,93827.846,36383.971,NA,NA,NA,0.00350670297771667,"SC333521"
"34","SC333523",2063.23966666667,12379.438,6,120960.724,116793.276,37006.165,5111.69200000004,NA,NA,0.00429687476679372,"SC333523"
"35","SC333531",1818.941,7275.764,4,132428.013,88841.18,29936.213,2210.856,NA,NA,0.00252540113216336,"SC333531"
