"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC334089",6266.29658333333,75195.559,12,113888.134,81533.17,19281.734,15651.741,12997.068,44918.909,0.0261002074603102,"SC334089"
"2","SC334090",2610.89790909091,28719.877,11,108223.949,72219.511,26351.571,10169.427,7022.79999999999,NA,0.009968603969479,"SC334090"
"3","SC334091",2800.83216666667,33609.986,12,119295.829,87349.776,32498.803,10455.148,12962.252,NA,0.011665949678466,"SC334091"
"4","SC334094",2668.89325,10675.573,4,123725.785,83178.824,28585.966,NA,5243.27399999998,NA,0.00370546710155698,"SC334094"
"5","SC334100",5588.9223,55889.223,10,116815.492,75983.174,28282.594,9668.318,6407.152,34760.528,0.0193990221562891,"SC334100"
"6","SC334292",3978.20014285714,27847.401,7,131255.644,93910.001,29382.643,NA,NA,19494.639,0.00966576953474674,"SC334292"
"7","SC334306",2063.055,16504.44,8,101014.748,78170.224,21405.452,5980.21799999999,NA,NA,0.00572865357668586,"SC334306"
"8","SC334307",4438.07214285714,62133.01,14,113483.116,103506.55,27057.198,6307.54399999999,31859.149,17308.387,0.0215662264194822,"SC334307"
"9","SC358790",7150.68574074074,193068.515,27,128385.576,84097.967,33767.514,26195.713,34780.317,121741.491,0.0670136423289841,"SC358790"
"10","SC358795",2217.57716666667,13305.463,6,122243.015,93999.622,31815.18,6921.63699999999,NA,NA,0.00461829593760294,"SC358795"
"11","SC358806",1761.713125,14093.705,8,103880.639,80092.063,26256.534,4356.302,NA,NA,0.00489189294256609,"SC358806"
"12","SC358811",2924.76911111111,26322.922,9,110487.389,101161.202,36760.803,2060.88500000001,6211.628,8085.887,0.00913662634200997,"SC358811"
"13","SC358816",2242.425,4484.85,2,86983.501,69865.248,15987.263,4484.85000000001,NA,NA,0.0015566812320442,"SC358816"
"14","SC358817",2093.62345454545,23029.858,11,132458.375,122687.345,47248.752,9308.24199999997,NA,NA,0.00799361131927333,"SC358817"
