"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC416362-RECLUSTER",2463.0885,4926.177,2,40346.373,30619.664,7530.99100000001,3213.02399999999,NA,NA,0.00170986482973295,"SC416362-RECLUSTER"
"2","SC416376-RECLUSTER",1818.0625,3636.125,2,48739.841,37923.962,6852.2,NA,NA,NA,0.00126209071537882,"SC416376-RECLUSTER"
"3","SC416507-RECLUSTER",NA,NA,NA,47735.795,35276.072,10397.766,NA,NA,NA,NA,"SC416507-RECLUSTER"
"4","SC416583-RECLUSTER",1556.129,1556.129,1,45442.343,34240.737,7859.773,NA,NA,NA,0.000540128835733572,"SC416583-RECLUSTER"
"5","SC416611-RECLUSTER",2047.8002,10239.001,5,41637.459,34901.948,14010.683,5331.182,NA,NA,0.00355393395355069,"SC416611-RECLUSTER"
"6","SC416612-RECLUSTER",1894.122,1894.122,1,46537.742,33420.325,7929.98400000001,NA,NA,NA,0.000657445437105372,"SC416612-RECLUSTER"
"7","SC416633-RECLUSTER",2364.531,2364.531,1,48654.394,40728.651,5881.425,2364.531,NA,NA,0.000820723330833073,"SC416633-RECLUSTER"
"8","SC416649-RECLUSTER",1883.948,1883.948,1,52288.852,40579.118,14080.974,NA,NA,NA,0.000653914064851045,"SC416649-RECLUSTER"
"9","SC416651-RECLUSTER",1744.56533333333,5233.696,3,46341.138,33947.864,10899.189,NA,NA,NA,0.00181660397503257,"SC416651-RECLUSTER"
"10","SC416663-RECLUSTER",NA,NA,NA,50021.516,36064.486,7559.10900000001,NA,NA,NA,NA,"SC416663-RECLUSTER"
"11","SC434069",2325.8555,4651.711,2,46298.352,38276.677,13156.563,3136.624,NA,NA,0.00161459830553833,"SC434069"
"12","SC434070",3793.4794,18967.397,5,52376.528,32038.609,14305.706,5992.78200000001,NA,9669.228,0.0065835403482015,"SC434070"
"13","SC434073",2202.99166666667,6608.975,3,51137.417,25741.917,9420.38499999999,4882.139,NA,NA,0.00229396018719674,"SC434073"
"14","SC434074",2323.8044,11619.022,5,52460.312,40549.131,16503.754,8217.74000000001,NA,NA,0.0040329361031269,"SC434074"
"15","SC434076",1786.0275,7144.11,4,59699.724,53488.584,20951.312,NA,NA,NA,0.00247970432827392,"SC434076"
"16","SC434081",1659.613,6638.452,4,48007.355,36259.732,17297.033,NA,NA,NA,0.00230419158683708,"SC434081"
"17","SC434086",2864.72733333333,8594.182,3,50616.896,32485.309,7949.355,NA,5281.29700000001,NA,0.00298302102058532,"SC434086"
"18","SC434087",2183.699,4367.398,2,50986.087,31992.512,6445.364,4367.398,NA,NA,0.00151591391004546,"SC434087"
"19","SC434090",NA,NA,NA,63324.592,46985.269,12452.057,NA,NA,NA,NA,"SC434090"
"20","SC434091",2059.36133333333,6178.084,3,42028.849,33564.068,12565.977,4348.781,NA,NA,0.00214439890136628,"SC434091"
"21","SC434093",3102.011,6204.022,2,45696.534,36012.089,14432.298,NA,4260.67,NA,0.00215340192215778,"SC434093"
"22","SC434107",2197.167,4394.334,2,46664.569,30472.416,10232.927,2541.435,NA,NA,0.00152526333436653,"SC434107"
"23","SC434111",1911.238,5733.714,3,48081.099,35930.542,9169.091,2678.386,NA,NA,0.00199015908530031,"SC434111"
"24","SC434119",8897.7466,44488.733,5,41432.843,21005.015,13735.929,NA,NA,41009.435,0.0154419380132057,"SC434119"
"25","SC434120",1933.7075,7734.83,4,35360.405,32530.699,15986.468,2558.539,NA,NA,0.00268474189639619,"SC434120"
"26","SC434124",3963.10366666667,11889.311,3,42819.465,33474.73,12655.052,NA,NA,8523.823,0.00412675280012412,"SC434124"
"27","SC434129",1953.91475,7815.659,4,45506.199,35574.292,11846.326,2236.424,NA,NA,0.00271279745841162,"SC434129"
