"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC416319-RECLUSTER",3253.99358333333,39047.923,12,119558.145,98509.078,43212.35,8346.84199999998,4621.97899999999,14151.821,0.0135534452399539,"SC416319-RECLUSTER"
"2","SC416320-RECLUSTER",2515.387,32700.031,13,115116.169,97685.5,44574.195,8799.63799999998,10385.344,NA,0.0113501063680978,"SC416320-RECLUSTER"
"3","SC416321-RECLUSTER",2359.04052941176,40103.689,17,114084.148,105640.114,29027.85,15548.455,9042.96000000002,NA,0.0139198992167046,"SC416321-RECLUSTER"
"4","SC416322-RECLUSTER",2183.5605,30569.847,14,113903.425,93952.546,37887.418,4893.486,7653.92799999999,NA,0.0106107243478294,"SC416322-RECLUSTER"
"5","SC416323-RECLUSTER",2012.72718181818,22139.999,11,126067.989,87494.301,39981.259,9965.26799999998,NA,NA,0.00768474328478709,"SC416323-RECLUSTER"
"6","SC416324-RECLUSTER",2529.3945,25293.945,10,118672.146,90968.52,31273.121,9319.31,5868.38099999999,NA,0.00877947076621476,"SC416324-RECLUSTER"
"7","SC416325-RECLUSTER",4826.274,38610.192,8,117996.435,88909.271,35159.721,2308.122,11149.558,17987.801,0.0134015098056843,"SC416325-RECLUSTER"
"8","SC416326-RECLUSTER",1982.64525,15861.162,8,115351.332,87049.765,33402.046,6768.93399999998,NA,NA,0.00550537324633213,"SC416326-RECLUSTER"
"9","SC416327",2457.01333333333,14742.08,6,128872.116,83706.564,27176.791,2326.758,5803.55100000001,NA,0.00511694243002423,"SC416327"
"10","SC416328-RECLUSTER",2918.7111,29187.111,10,113939.796,87585.807,33014.636,9966.47399999999,12038.15,NA,0.0101307798279298,"SC416328-RECLUSTER"
"11","SC416329-RECLUSTER",5139.624,25698.12,5,120233.193,91847.828,25092.549,2870.32199999999,10097.745,11165.058,0.00891975898922366,"SC416329-RECLUSTER"
"12","SC416330-RECLUSTER",2308.75833333333,41557.65,18,121562.896,88694.753,44891.946,10313.918,11543.029,NA,0.0144245657720686,"SC416330-RECLUSTER"
"13","SC416331-RECLUSTER",3871.63018181818,42587.932,11,116808.228,83567.768,31383.899,4212.171,4280.64300000001,23083.654,0.0147821743103949,"SC416331-RECLUSTER"
"14","SC416332-RECLUSTER",2071.48691666667,24857.843,12,120325.038,97571.492,28331.508,12822.151,NA,NA,0.00862810075413923,"SC416332-RECLUSTER"
"15","SC416333-RECLUSTER",2398.36945454545,26382.064,11,131540.346,107028.039,28616.137,19984.608,NA,NA,0.00915715439566294,"SC416333-RECLUSTER"
"16","SC416334-RECLUSTER",2559.18128571429,35828.538,14,129476.608,83487.652,36662.323,15208.263,NA,9117.089,0.0124360040304988,"SC416334-RECLUSTER"
"17","SC416335-RECLUSTER",3724.52341666667,44694.281,12,120288.174,94273.6,35177.004,5910.71400000001,14734.942,13734.757,0.0155132832563876,"SC416335-RECLUSTER"
"18","SC416336-RECLUSTER",2816.34491666667,33796.139,12,117380.362,97779.362,29906.012,13257.527,12185.163,NA,0.0117305629612712,"SC416336-RECLUSTER"
"19","SC416337-RECLUSTER",2860.37783333333,17162.267,6,139320.708,85110.65,21511.402,13655.346,NA,NA,0.00595698383184087,"SC416337-RECLUSTER"
"20","SC416338-RECLUSTER",2248.937125,17991.497,8,109283.426,93396.827,28801.55,5063.18899999998,4617.098,NA,0.00624480767835703,"SC416338-RECLUSTER"
"21","SC416339-RECLUSTER",1569.86166666667,4709.585,3,119523.495,80000.83,32574.641,NA,NA,NA,0.00163468623927598,"SC416339-RECLUSTER"
"22","SC416340-RECLUSTER",1953.8433,19538.433,10,112051.866,93687.407,31797.815,6023.842,NA,NA,0.00678174564470452,"SC416340-RECLUSTER"
"23","SC416341-RECLUSTER",2119.66216666667,25435.946,12,115665.095,91788.289,33215.21,14088.619,NA,NA,0.00882875899026495,"SC416341-RECLUSTER"
"24","SC416342-RECLUSTER",2392.70514285714,16748.936,7,129992.293,95091.07,34229.371,5948.55499999999,4257.43700000003,NA,0.00581351758206171,"SC416342-RECLUSTER"
"25","SC416343-RECLUSTER",1921.018875,15368.151,8,110278.198,91781.639,33747.483,4945.65700000001,NA,NA,0.00533425024982359,"SC416343-RECLUSTER"
"26","SC416344-RECLUSTER",2102.19341666667,25226.321,12,111053.851,86898.185,31202.227,7535.33799999999,4407.372,NA,0.00875599862965818,"SC416344-RECLUSTER"
"27","SC416345-RECLUSTER",1746.06833333333,10476.41,6,125011.228,82870.719,24346.229,NA,NA,NA,0.00363633807734934,"SC416345-RECLUSTER"
"28","SC416346-RECLUSTER",3376.75733333333,20260.544,6,133748.439,75848.528,43198.767,5769.91399999999,10679.52,NA,0.00703238873001455,"SC416346-RECLUSTER"
"29","SC416347-RECLUSTER",2533.2715,5066.543,2,111229.523,93179.962,22379.842,5066.54300000001,NA,NA,0.00175858554900274,"SC416347-RECLUSTER"
"30","SC416348-RECLUSTER",3407.48217857143,95409.501,28,116107.823,97994.529,43656.605,35773.519,16338.258,25983.261,0.0331164207421435,"SC416348-RECLUSTER"
"31","SC416349-RECLUSTER",2075.417,20754.17,10,120776.884,98045.705,37408.858,6495.255,4131.98100000003,NA,0.00720372519162398,"SC416349-RECLUSTER"
"32","SC416350-RECLUSTER",2566.21030769231,33360.734,13,122927.905,87433.778,27118.042,22608.965,4189.36499999999,NA,0.01157943487631,"SC416350-RECLUSTER"
"33","SC416383-RECLUSTER",3257.26138461538,42344.398,13,121167.236,99431.676,26930.909,17961.176,19540.687,NA,0.0146976442130305,"SC416383-RECLUSTER"
"34","SC416384-RECLUSTER",2318.18972727273,25500.087,11,119619.651,96043.656,39385.899,5644.07399999999,8253.10500000001,NA,0.00885102218544529,"SC416384-RECLUSTER"
"35","SC416385-RECLUSTER",2067.80085714286,14474.606,7,122877.614,85274.582,39784.888,7335.22899999999,NA,NA,0.00502410281312293,"SC416385-RECLUSTER"
"36","SC416387-RECLUSTER",1631.7266,8158.633,5,114857.841,90600.16,45877.691,NA,NA,NA,0.00283184295355173,"SC416387-RECLUSTER"
"37","SC416388-RECLUSTER",2285.907,18287.256,8,121891.519,85876.141,27532.995,11683.033,NA,NA,0.00634746495441045,"SC416388-RECLUSTER"
"38","SC416390-RECLUSTER",1992.967,19929.67,10,114283.678,90648.195,30701.602,7722.679,NA,NA,0.00691754311734715,"SC416390-RECLUSTER"
"39","SC416392-RECLUSTER",2878.89481818182,31667.843,11,122713.595,98879.403,36268.024,17401.059,8849.25799999997,NA,0.0109918362615076,"SC416392-RECLUSTER"
"40","SC416394-RECLUSTER",1546.004,1546.004,1,123315.371,99711.096,15695.081,NA,NA,NA,0.000536614471267771,"SC416394-RECLUSTER"
"41","SC416396-RECLUSTER",2388.6833,23886.833,10,121116.078,89418.566,36102.841,15464.899,NA,NA,0.0082910653921701,"SC416396-RECLUSTER"
"42","SC416398-RECLUSTER",2237.81275,17902.502,8,114635.754,109511.042,39716.091,11429.952,NA,NA,0.00621391771631911,"SC416398-RECLUSTER"
"43","SC416400-RECLUSTER",2767.62414285714,19373.369,7,122045.216,79742.888,25728.948,8619.27799999999,5088.45800000001,NA,0.00672445230582225,"SC416400-RECLUSTER"
"44","SC416402-RECLUSTER",2000.16988888889,18001.529,9,121986.266,93110.674,36114.419,7427.61300000001,NA,NA,0.00624828976273441,"SC416402-RECLUSTER"
"45","SC416404-RECLUSTER",2614.91408333333,31378.969,12,124584.451,96229.796,40507.777,13285.082,9358.10000000003,NA,0.0108915687532909,"SC416404-RECLUSTER"
"46","SC416406-RECLUSTER",2468.97825,19751.826,8,121060.3,89659.519,23639.703,9844.478,4771.345,NA,0.00685581386953916,"SC416406-RECLUSTER"
"47","SC416407-RECLUSTER",1937.69381818182,21314.632,11,114070.145,96198.371,39696.142,9280.61800000002,NA,NA,0.00739826027678267,"SC416407-RECLUSTER"
"48","SC416408-RECLUSTER",2298.58909090909,25284.48,11,125609.661,88687.123,38322.659,8144.55100000001,4107.478,NA,0.00877618548624747,"SC416408-RECLUSTER"
"49","SC416409-RECLUSTER",2517.6559,25176.559,10,118128.573,98984.777,51292.091,2683.565,10313.086,NA,0.00873872635266587,"SC416409-RECLUSTER"
"50","SC416410-RECLUSTER",2515.91745454545,27675.092,11,111542.675,80868.882,18972.919,13544.691,4942.11000000002,NA,0.00960596147284672,"SC416410-RECLUSTER"
"51","SC416412-RECLUSTER",1729.74425,6918.977,4,114723.195,91503.61,28159.589,NA,NA,NA,0.00240156117614758,"SC416412-RECLUSTER"
"52","SC416413-RECLUSTER",2218.91433333333,6656.743,3,128342.548,84062.263,28456.921,4846.43000000002,NA,NA,0.00231054035132538,"SC416413-RECLUSTER"
"53","SC416414-RECLUSTER",2528.29772727273,27811.275,11,123589.956,90853.829,23592.714,18462.708,NA,NA,0.00965323028233276,"SC416414-RECLUSTER"
"54","SC416416-RECLUSTER",2421.57807692308,31480.515,13,119829.21,86119.955,42790.414,8113.14499999999,10005.725,NA,0.0109268151388755,"SC416416-RECLUSTER"
"55","SC416419-RECLUSTER",2122.75625,8491.025,4,121809.549,95653.017,19131.623,5255.68399999998,NA,NA,0.00294721546056571,"SC416419-RECLUSTER"
"56","SC416420-RECLUSTER",1969.99557142857,13789.969,7,119414.145,83484.976,28070.954,9081.38799999998,NA,NA,0.00478646686796021,"SC416420-RECLUSTER"
"57","SC416421-RECLUSTER",1996.9686,19969.686,10,122068.7,82372.996,35178.673,8583.97,NA,NA,0.00693143257991144,"SC416421-RECLUSTER"
"58","SC416422-RECLUSTER",3275.1095,26200.876,8,125504.36,98319.028,37101.572,4059.24400000004,NA,13068.106,0.00909426445306249,"SC416422-RECLUSTER"
"59","SC416423-RECLUSTER",4957.43766666667,29744.626,6,114853.277,74199.274,37444.592,8144.51799999998,NA,18249.018,0.0103242920160928,"SC416423-RECLUSTER"
"60","SC416425-RECLUSTER",2492.69407692308,32405.023,13,123979.489,94529.319,34884.815,6950.01800000001,11568.827,NA,0.0112477097624359,"SC416425-RECLUSTER"
"61","SC416426-RECLUSTER",2112.48541666667,25349.825,12,118883.996,93110.516,31832.918,14974.149,NA,NA,0.00879886658708873,"SC416426-RECLUSTER"
"62","SC416427-RECLUSTER",2063.4725,20634.725,10,118800.298,101309.223,26955.282,12174.56,NA,NA,0.00716226610385928,"SC416427-RECLUSTER"
"63","SC416428-RECLUSTER",4092.82792307692,53206.763,13,118155.42,77584.715,34025.018,12930.84,14456.725,17393.018,0.018467946392839,"SC416428-RECLUSTER"
"64","SC416432-RECLUSTER",2895.71533333333,26061.438,9,118822.539,102222.571,30285.877,NA,16545.907,NA,0.00904586584048152,"SC416432-RECLUSTER"
"65","SC416433-RECLUSTER",2091.42157142857,14639.951,7,125532.708,95697.228,25899.464,8347.08900000001,NA,NA,0.00508149368646593,"SC416433-RECLUSTER"
"66","SC416434-RECLUSTER",2649.75163636364,29147.268,11,128350.41,97194.287,34821.715,10942.305,9656.63299999997,NA,0.0101169504132719,"SC416434-RECLUSTER"
"67","SC416435-RECLUSTER",2938.756,26448.804,9,115775.472,92798.011,21370.125,12015.384,10823.728,NA,0.00918031969783061,"SC416435-RECLUSTER"
"68","SC416437-RECLUSTER",1972.372,25640.836,13,131141.113,94200.089,45746.881,10327.197,NA,NA,0.00889987584314376,"SC416437-RECLUSTER"
"69","SC416438-RECLUSTER",3631.706375,29053.651,8,115884.407,88311.337,23632.965,8057.005,17432.435,NA,0.010084456165549,"SC416438-RECLUSTER"
"70","SC416439-RECLUSTER",2099.6522,31494.783,15,111192.851,99078.19,48311.659,20045.135,NA,NA,0.0109317675292161,"SC416439-RECLUSTER"
"71","SC416457-RECLUSTER",2807.67272727273,30884.4,11,107652.382,92424.086,34244.29,5558.51300000001,15396.35,NA,0.0107199049785268,"SC416457-RECLUSTER"
"72","SC416458-RECLUSTER",1966.1515,23593.818,12,124362.522,91187.059,31342.405,13771.48,NA,NA,0.00818936055227413,"SC416458-RECLUSTER"
"73","SC416459-RECLUSTER",2922.734125,23381.873,8,121874.293,90690.39,30305.625,8151.92000000001,9822.28399999999,NA,0.00811579492494532,"SC416459-RECLUSTER"
"74","SC416460-RECLUSTER",4635.6578,69534.867,15,123167.512,91645.007,22269.27,21450.827,17101.944,24457.934,0.0241353941450862,"SC416460-RECLUSTER"
"75","SC416464-RECLUSTER",2109.90214285714,14769.315,7,116294.388,81369.52,33787.046,6371.77499999999,NA,NA,0.00512639563656508,"SC416464-RECLUSTER"
"76","SC434075",2291.93225,18335.458,8,132585.507,82254.326,28273.801,13561.157,NA,NA,0.00636419575895174,"SC434075"
"77","SC434084",3005.389,24043.112,8,126541.309,97247.794,19661.807,9742.63399999999,12507.599,NA,0.00834530947753809,"SC434084"
"78","SC434085",2609.27890909091,28702.068,11,123702.282,88452.802,26053.502,8233.62699999998,NA,8977.56,0.00996242250609417,"SC434085"
"79","SC434092",2028.4113,20284.113,10,118127.676,108045.725,42603.855,2139.73100000003,4547.489,NA,0.00704056947629548,"SC434092"
"80","SC434146",2557.57483333333,30690.898,12,108489.135,78145.67,27831.027,12858.773,7420.94699999999,NA,0.0106527408745405,"SC434146"
"81","SC434214",3353.92922222222,30185.363,9,136407.193,96091.461,35600.366,4834.28599999996,8233.94500000001,10175.98,0.0104772708261238,"SC434214"
"82","SC434215",2535.62954545455,27891.925,11,119022.867,83465.345,21566.163,20260.807,4010.70600000001,NA,0.00968122371385541,"SC434215"
"83","SC434252",1987.38335714286,27823.367,14,114444.978,89635.602,48613.856,10185.222,NA,NA,0.00965742738802367,"SC434252"
"84","SC434316",2702.9772,27029.772,10,124010.902,84328.755,34665.153,8355.071,9700.50200000001,NA,0.0093819723689385,"SC434316"
"85","SC434324",2324.41228571429,32541.772,14,118301.77,91297.89,36292.637,16296.513,4321.48100000003,NA,0.0112951750292343,"SC434324"
"86","SC434329",2255.56890909091,24811.258,11,104644.447,99072.804,28116.227,13403.979,NA,NA,0.00861193120661929,"SC434329"
"87","SC434354",3285.783125,26286.265,8,111692.824,95616.027,31922.533,2113.11800000002,4307.54399999999,11381.186,0.009123902780704,"SC434354"
"88","SC434375",4406.67328571429,30846.713,7,128410.234,99743.594,31305.334,5011.658,11569.101,10757.331,0.0107068239065641,"SC434375"
"89","SC458845",2559.812875,40957.006,16,123842.499,103370.189,38298.046,16684.494,11400.766,NA,0.0142160836061232,"SC458845"
"90","SC458846",1905.157,11430.942,6,120060.334,84572.55,24184.783,4361.201,NA,NA,0.00396765396300563,"SC458846"
"91","SC458847",3353.38616666667,60360.951,18,121285.57,99200.958,31648.116,27638.822,9356.71100000001,13057.028,0.0209511487719856,"SC458847"
"92","SC458848",2142.18933333333,19279.704,9,129093.93,88405.675,36678.071,2268.19899999999,4858.978,NA,0.0066919413974085,"SC458848"
"93","SC458853",4622.22242857143,64711.114,14,113015.432,86880.184,34675.764,12416.275,8383.16099999999,33543.551,0.0224610804527404,"SC458853"
"94","SC458854",2008.565625,16068.525,8,129727.451,85824.312,30724.902,NA,4531.495,NA,0.00557734847188491,"SC458854"
"95","SC458855",2055.709,24668.508,12,120710.191,92095.44,29443.546,13062.807,NA,NA,0.00856238300637306,"SC458855"
