"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC359029",1805.521,3611.042,2,133298.436,90588.17,29495.645,NA,NA,NA,0.00125338446314221,"SC359029"
"2","SC359030",5595.7163,55957.163,10,120680.673,93989.94,27674.385,4392.69100000002,6607.23799999998,38740.331,0.0194226039757268,"SC359030"
"3","SC359032",1700.89333333333,5102.68,3,130477.349,98483.276,30424.924,NA,NA,NA,0.00177112861949169,"SC359032"
"4","SC359033",1833.4375,14667.5,8,125233.14,92900.263,29404.512,4495.49299999999,NA,NA,0.00509105588169243,"SC359033"
"5","SC359034",4325.33364285714,60554.671,14,111630.106,83998.785,35536.347,8543.32399999999,10944.439,30813.024,0.021018388543276,"SC359034"
"6","SC359035",2047.33966666667,12284.038,6,124855.704,88874.372,31524.457,7208.98500000002,NA,NA,0.00426376164382706,"SC359035"
"7","SC359036",2152.84233333333,12917.054,6,133140.162,106944.916,20379.179,5972.285,NA,NA,0.00448348005732666,"SC359036"
"8","SC359037",2202.45757142857,30834.406,14,122962.399,87212.547,29797.562,8785.462,5083.35699999999,NA,0.0107025521748623,"SC359037"
"9","SC359038",4652.90266666667,55834.832,12,135473.743,93756.136,30536.44,10446.249,NA,38377.209,0.0193801431639277,"SC359038"
"10","SC359039",1731.725,6926.9,4,124438.423,94395.412,29008.469,NA,NA,NA,0.0024043112314229,"SC359039"
"11","SC359040",1756.92825,7027.713,4,128877.577,103643.16,24935.638,NA,NA,NA,0.00243930319437507,"SC359040"
"12","SC359041",2170.172,8680.688,4,129451.748,75081.971,27938.513,5196.82400000002,NA,NA,0.00301304705638568,"SC359041"
"13","SC359042",2107.26533333333,12643.592,6,116960.735,111921.698,31108.714,7729.011,NA,NA,0.00438856201924796,"SC359042"
"14","SC359043",1803.612,10821.672,6,121235.332,98789.464,21734.533,4327.75599999999,NA,NA,0.00375617773208429,"SC359043"
"15","SC359044",2076.2922,10381.461,5,130568.47,96791.659,28493.208,5556.15700000001,NA,NA,0.00360338149545666,"SC359044"
"16","SC359045",2273.0675,9092.27,4,123608.262,93807.413,21683.944,5630.27799999999,NA,NA,0.00315590623224378,"SC359045"
