"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC416359-RECLUSTER",2001.1657,20011.657,10,146067.863,126450.871,44333.901,NA,5163.38899999997,NA,0.00694600061852815,"SC416359-RECLUSTER"
"2","SC416360-RECLUSTER",2091.8515,8367.406,4,162126.528,113542.111,33268.53,6812.88400000002,NA,NA,0.00290430758689678,"SC416360-RECLUSTER"
"3","SC416361-RECLUSTER",1592.43533333333,4777.306,3,159915.731,123886.478,36629.197,NA,NA,NA,0.00165819204431188,"SC416361-RECLUSTER"
"4","SC416363-RECLUSTER",1981.2733,19812.733,10,165711.602,111664.068,39352.502,8061.35999999999,NA,NA,0.00687695455067679,"SC416363-RECLUSTER"
"5","SC416364-RECLUSTER",1677.87363636364,18456.61,11,147692.808,109831.764,49195.841,2031.04200000002,NA,NA,0.00640624734253304,"SC416364-RECLUSTER"
"6","SC416365-RECLUSTER",1715.00666666667,10290.04,6,147200.782,125130.053,44587.466,2157.53700000001,NA,NA,0.00357164947433785,"SC416365-RECLUSTER"
"7","SC416366-RECLUSTER",2274.26414285714,15919.849,7,144760.87,126688.138,57159.088,2371.86900000001,5315.94399999996,NA,0.00552574337052023,"SC416366-RECLUSTER"
"8","SC416367-RECLUSTER",2054.0349,20540.349,10,151287.812,137290.97,45029.164,10508.185,NA,NA,0.00712950840896304,"SC416367-RECLUSTER"
"9","SC416368-RECLUSTER",1696.9596,8484.798,5,150918.468,121928.373,39072.89,NA,NA,NA,0.00294505408303202,"SC416368-RECLUSTER"
"10","SC416372-RECLUSTER",1652.27642857143,11565.935,7,152068.399,134712.717,39962.581,NA,NA,NA,0.0040145097261989,"SC416372-RECLUSTER"
"11","SC416377-RECLUSTER",2635.45075,10541.803,4,146117.137,119742.932,29306.502,2157.53700000001,5161.554,NA,0.0036590358388814,"SC416377-RECLUSTER"
"12","SC416378-RECLUSTER",2239.0086,11195.043,5,160625.918,130638.922,43781.966,NA,4206.36499999999,NA,0.00388577395677176,"SC416378-RECLUSTER"
"13","SC416399-RECLUSTER",1951.071,13657.497,7,146416.269,120071.401,42294.49,5408.70600000001,NA,NA,0.0047404861381317,"SC416399-RECLUSTER"
"14","SC416442-RECLUSTER",2266.11281818182,24927.241,11,154674.379,126375.168,33276.37,7013.58799999999,5271.82899999997,NA,0.00865218864205998,"SC416442-RECLUSTER"
"15","SC416443-RECLUSTER",1798.33184615385,23378.314,13,149608.504,128261.987,55046.488,6598.59399999998,NA,NA,0.00811455960414199,"SC416443-RECLUSTER"
"16","SC416444-RECLUSTER",1831.162375,14649.299,8,153110.153,112597.497,39562.938,6304.46400000004,NA,NA,0.00508473835599939,"SC416444-RECLUSTER"
"17","SC416446-RECLUSTER",2054.5008,20545.008,10,148502.405,117697.638,34388.776,10119.451,NA,NA,0.00713112553726389,"SC416446-RECLUSTER"
"18","SC416453-RECLUSTER",1883.54828571429,26369.676,14,150561.248,125053.155,59938.943,8702.77399999998,NA,NA,0.00915285454904543,"SC416453-RECLUSTER"
"19","SC416465-RECLUSTER",1779.03575,14232.286,8,138222.737,117243.153,40260.823,4387.141,NA,NA,0.00493999409239672,"SC416465-RECLUSTER"
"20","SC416467-RECLUSTER",1827.243,14617.944,8,144545.547,127834.276,45254.398,2419.34899999999,NA,NA,0.00507385510683147,"SC416467-RECLUSTER"
"21","SC416479-RECLUSTER",2127.28669230769,27654.727,13,145215.868,109607.039,41225.693,17404.188,NA,NA,0.00959889282767674,"SC416479-RECLUSTER"
"22","SC416480-RECLUSTER",1795.4654,17954.654,10,154108.608,124660.938,39726.5550000001,4478.39299999998,NA,NA,0.00623201955687422,"SC416480-RECLUSTER"
"23","SC416490-RECLUSTER",1820.98714285714,12746.91,7,152046.195,132165.543,41290.862,2346.201,NA,NA,0.0044244234620013,"SC416490-RECLUSTER"
"24","SC416491-RECLUSTER",2041.02938461538,26533.382,13,150317.184,129176.224,48274.877,6333.90900000004,5158.70299999998,NA,0.00920967652921712,"SC416491-RECLUSTER"
"25","SC416492-RECLUSTER",1593.903,6375.612,4,144712.831,122759.633,39013.933,NA,NA,NA,0.00221296042079351,"SC416492-RECLUSTER"
"26","SC416493-RECLUSTER",4417.974,39761.766,9,149323.943,130890.413,37485.7120000001,5970.25299999997,17447.133,11383.781,0.0138012185212734,"SC416493-RECLUSTER"
"27","SC416494-RECLUSTER",1897.81725,7591.269,4,147251.1,119300.706,37570.33,2118.75099999999,NA,NA,0.00263491219989497,"SC416494-RECLUSTER"
"28","SC416495-RECLUSTER",2239.6981,22396.981,10,159907.572,115141.653,40785.847,4333.054,5729.16600000003,NA,0.00777394115235751,"SC416495-RECLUSTER"
"29","SC416496-RECLUSTER",2747.43533333333,24726.918,9,157765.15,123074.916,33120.141,13143.276,6522.25599999999,NA,0.00858265698449133,"SC416496-RECLUSTER"
"30","SC416497-RECLUSTER",2152.49877777778,19372.489,9,153330.37,124109.827,43679.784,2209.30900000001,5497.88800000004,NA,0.00672414685982424,"SC416497-RECLUSTER"
"31","SC416498-RECLUSTER",1619.8215,6479.286,4,150709.279,125239.651,37756.513,NA,NA,NA,0.00224894543033697,"SC416498-RECLUSTER"
"32","SC416499-RECLUSTER",1874.68892307692,24370.956,13,147144.718,132934.644,40695.442,7559.37300000002,NA,NA,0.00845910338409869,"SC416499-RECLUSTER"
"33","SC416500-RECLUSTER",2033.0156,20330.156,10,149534.36,118498.331,36182.356,9246.23300000001,NA,NA,0.00705655089684846,"SC416500-RECLUSTER"
"34","SC416501-RECLUSTER",1894.53285714286,13261.73,7,154140.389,128821.489,41492.826,2309.42699999997,NA,NA,0.00460311631279475,"SC416501-RECLUSTER"
"35","SC416502-RECLUSTER",2174.5075,8698.03,4,162217.853,110195.554,32160.088,5454.59299999999,NA,NA,0.00301906642513293,"SC416502-RECLUSTER"
"36","SC416503-RECLUSTER",2145.3815,12872.289,6,144279.924,116893.815,46896.072,7771.57199999999,NA,NA,0.00446794222766626,"SC416503-RECLUSTER"
"37","SC416504-RECLUSTER",1714.47736363636,18859.251,11,163412.217,125566.744,36591.194,NA,NA,NA,0.00654600311763177,"SC416504-RECLUSTER"
"38","SC416505-RECLUSTER",1885.17228571429,13196.206,7,153647.496,118550.922,37541.761,5014.36599999998,NA,NA,0.00458037308146071,"SC416505-RECLUSTER"
"39","SC416506-RECLUSTER",3755.82311111111,33802.408,9,137430.436,135193.767,35027.09,14558.149,9669.69300000003,8038.166,0.0117327389169093,"SC416506-RECLUSTER"
"40","SC416508-RECLUSTER",1890.08511111111,17010.766,9,154638.018,115396.84,50905.738,6812.19899999996,NA,NA,0.00590439817940301,"SC416508-RECLUSTER"
"41","SC416509-RECLUSTER",1873.18885714286,13112.322,7,156120.404,132094.618,29929.903,3467.80600000004,NA,NA,0.00455125713589535,"SC416509-RECLUSTER"
"42","SC416510-RECLUSTER",1838.31875,14706.55,8,155054.098,118984.898,44678.639,5108.93900000001,NA,NA,0.00510461004785436,"SC416510-RECLUSTER"
"43","SC416511-RECLUSTER",1754.16314285714,12279.142,7,150131.996,118051.522,38908.504,2240.21600000001,NA,NA,0.00426206225336537,"SC416511-RECLUSTER"
"44","SC416512-RECLUSTER",1977.491,13842.437,7,162644.126,111665.343,35552.188,8923.30699999997,NA,NA,0.00480467839139642,"SC416512-RECLUSTER"
"45","SC416541-RECLUSTER",1951.5956,19515.956,10,152838.97,122903.544,33630.15,7509.30100000004,NA,NA,0.0067739439291393,"SC416541-RECLUSTER"
"46","SC416542-RECLUSTER",2010.378,16083.024,8,151325.706,118420.253,31859.649,11467.239,NA,NA,0.00558238104179994,"SC416542-RECLUSTER"
"47","SC416543-RECLUSTER",1797.09533333333,5391.286,3,160968.717,121578.171,40567.463,2010.15399999998,NA,NA,0.00187130310551806,"SC416543-RECLUSTER"
"48","SC416544-RECLUSTER",1967.89514285714,13775.266,7,163330.071,118829.321,46680.087,5262.09399999998,NA,NA,0.00478136349010928,"SC416544-RECLUSTER"
"49","SC416584-RECLUSTER",1660.11028571429,11620.772,7,146536.621,111578.133,45287.059,NA,NA,NA,0.00403354352414568,"SC416584-RECLUSTER"
"50","SC416609-RECLUSTER",1879.60325,7518.413,4,153272.967,119072.918,28594.768,2532.549,NA,NA,0.0026096240480411,"SC416609-RECLUSTER"
"51","SC416610-RECLUSTER",2355.09875,18840.79,8,155625.825,128894.156,30232.3639999999,9664.43600000005,4114.40999999997,NA,0.00653959534653022,"SC416610-RECLUSTER"
"52","SC416615-RECLUSTER",1662.555,9975.33,6,146766.618,112294.138,45524.864,2033.59399999998,NA,NA,0.00346241434929763,"SC416615-RECLUSTER"
"53","SC416616-RECLUSTER",2062.879,22691.669,11,149529.469,121233.329,42766.876,9229.72000000003,NA,NA,0.00787622668674743,"SC416616-RECLUSTER"
"54","SC416620-RECLUSTER",2148.12266666667,12888.736,6,142172.316,120944.025,33600.764,7990.78500000003,NA,NA,0.00447365094394962,"SC416620-RECLUSTER"
"55","SC416621-RECLUSTER",1831.42225,14651.378,8,140923.872,127365.193,44239.678,2433.51199999999,NA,NA,0.0050854599721697,"SC416621-RECLUSTER"
"56","SC416622-RECLUSTER",1846.206,14769.648,8,157583.261,100441.014,36566.616,4776.41999999998,NA,NA,0.00512651122010751,"SC416622-RECLUSTER"
"57","SC416623-RECLUSTER",1525.409,3050.818,2,159514.553,119010.821,30005.236,NA,NA,NA,0.00105893198724208,"SC416623-RECLUSTER"
"58","SC416625-RECLUSTER",1771.78522222222,15946.067,9,137636.758,123705.41,39466.534,4842.85600000003,NA,NA,0.00553484357867473,"SC416625-RECLUSTER"
"59","SC416626-RECLUSTER",2035.61188888889,18320.507,9,152818.449,132482.685,33649.285,2457.39400000003,4333.40599999996,NA,0.006359006300865,"SC416626-RECLUSTER"
"60","SC416630-RECLUSTER",1802.1805,7208.722,4,149184.536,122604.235,48916.694,NA,NA,NA,0.00250213100648274,"SC416630-RECLUSTER"
"61","SC416631-RECLUSTER",2147.8956,21478.956,10,154446.571,116755.418,39521.184,5076.55099999998,4355.70300000004,NA,0.00745529676334842,"SC416631-RECLUSTER"
"62","SC416634-RECLUSTER",2159.711,15117.977,7,142704.917,125604.106,40085.289,6497.55800000002,NA,NA,0.00524741542356509,"SC416634-RECLUSTER"
"63","SC416635-RECLUSTER",1801.20266666667,21614.432,12,171768.464,116551.175,36529.6079999999,6504.90300000005,NA,NA,0.00750232017474288,"SC416635-RECLUSTER"
"64","SC416637-RECLUSTER",1748.18766666667,10489.126,6,144500.913,115344.116,38764.562,NA,NA,NA,0.00364075177202066,"SC416637-RECLUSTER"
"65","SC416638-RECLUSTER",4000.03184615385,52000.414,13,160711.494,120658.613,47694.848,5329.60200000001,28756.138,8867.797,0.018049225399362,"SC416638-RECLUSTER"
"66","SC416643-RECLUSTER",1837.7819,18377.819,10,145051.561,128886.364,46031.464,2527.05299999996,NA,NA,0.0063788991656812,"SC416643-RECLUSTER"
"67","SC416644-RECLUSTER",1822.0946,9110.473,5,155798.392,139874.896,30048.898,2447.375,NA,NA,0.00316222445213227,"SC416644-RECLUSTER"
"68","SC416645-RECLUSTER",1741.02122222222,15669.191,9,160882.026,118162.507,41646.69,2692.90299999999,NA,NA,0.00543874054896282,"SC416645-RECLUSTER"
"69","SC416646-RECLUSTER",1747.0842,8735.421,5,154856.546,122486.762,48499.647,2005.435,NA,NA,0.00303204475616905,"SC416646-RECLUSTER"
"70","SC416659-RECLUSTER",1902.67657142857,13318.736,7,153699.878,129681.455,46508.512,2871.28300000005,NA,NA,0.00462290296570709,"SC416659-RECLUSTER"
"71","SC416666-RECLUSTER",3446.217,44800.821,13,155605.952,116129.173,33931.641,11276.176,6379.48999999999,16629.006,0.0155502630480109,"SC416666-RECLUSTER"
"72","SC416671-RECLUSTER",2209.115125,17672.921,8,145156.534,120991.836,39800.552,12094.418,NA,NA,0.0061342306735119,"SC416671-RECLUSTER"
"73","SC416672-RECLUSTER",1690.97883333333,10145.873,6,153470.906,125700.9,30148.234,2022.87300000002,NA,NA,0.00352160943661527,"SC416672-RECLUSTER"
"74","SC418601-RECLUSTER",1816.74208333333,21800.905,12,162835.801,119259.137,35064.8,6317.826,NA,NA,0.00756704452882004,"SC418601-RECLUSTER"
"75","SC434077",1784.88175,7139.527,4,152988.196,118554.423,45520.969,NA,NA,NA,0.00247811357940017,"SC434077"
"76","SC434083",1760.165,7040.66,4,154180.557,119525.494,28079.976,2012.88900000002,NA,NA,0.00244379706862087,"SC434083"
"77","SC434088",1765.14957142857,12356.047,7,142145.124,113767.069,45292.641,2320.66900000005,NA,NA,0.00428875580390783,"SC434088"
