"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC416351-RECLUSTER",1896.71354166667,45521.125,24,154916.268,206330.394,89661.79,15131.844,NA,NA,0.0158002789277318,"SC416351-RECLUSTER"
"2","SC416352-RECLUSTER",2416.7212,24167.212,10,152456.509,154350.541,53522.847,9556.26900000003,4047.35099999997,NA,0.00838838430521275,"SC416352-RECLUSTER"
"3","SC416353-RECLUSTER",2054.36484615385,26706.743,13,163711.56,172352.659,66148.815,15104.029,NA,NA,0.00926984973792386,"SC416353-RECLUSTER"
"4","SC416354-RECLUSTER",1979.37388888889,17814.365,9,148809.197,128622.369,49847.06,5949.17999999999,NA,NA,0.00618332556412926,"SC416354-RECLUSTER"
"5","SC416355-RECLUSTER",2056.59771428571,14396.184,7,127625.184,119933.502,55510.308,3830.33100000001,NA,NA,0.00499688271533162,"SC416355-RECLUSTER"
"6","SC416356-RECLUSTER",2827.21692307692,73507.64,26,162605.404,159490.495,59701.405,19647.978,21591.555,8685.554,0.0255143346153966,"SC416356-RECLUSTER"
"7","SC416380-RECLUSTER",2095.45447826087,48195.453,23,170539.353,178861.324,72728.207,20754.214,4329.77000000002,NA,0.0167285320924821,"SC416380-RECLUSTER"
"8","SC416381-RECLUSTER",1970.60982352941,33500.367,17,141507.197,127555.059,49809.072,19636.535,NA,NA,0.0116279011729473,"SC416381-RECLUSTER"
"9","SC416382-RECLUSTER",2042.2295625,32675.673,16,166491.67,185786.116,67881.213,11560.396,4181.86199999996,NA,0.0113416517617119,"SC416382-RECLUSTER"
"10","SC416447-RECLUSTER",2290.3506,45807.012,20,191281.226,194508.333,82966.451,22381.238,6602.41199999995,NA,0.0158995096550439,"SC416447-RECLUSTER"
"11","SC416449-RECLUSTER",1880.9845,22571.814,12,143229.967,122421.825,42207.453,7269.96299999999,NA,NA,0.00783462528891547,"SC416449-RECLUSTER"
"12","SC416450-RECLUSTER",1991.795,21909.745,11,157714.516,166574.772,71014.899,11405.001,NA,NA,0.00760482264521094,"SC416450-RECLUSTER"
"13","SC416454-RECLUSTER",1841.88776923077,23944.541,13,175811.357,142454.794,54642.173,7235.734,NA,NA,0.0083110957076854,"SC416454-RECLUSTER"
"14","SC416456-RECLUSTER",2376.37058823529,40398.3,17,165635.931,166175.381,76633.848,17396.0170000001,5145.23199999996,NA,0.0140221580245697,"SC416456-RECLUSTER"
"15","SC416468-RECLUSTER",2220.03863157895,42180.734,19,173668.33,152996.504,65272.834,19239.688,5539.82399999996,NA,0.0146408368109633,"SC416468-RECLUSTER"
"16","SC416485-RECLUSTER",2128.7098,21287.098,10,137269.245,134610.789,35235.004,16539.898,NA,NA,0.00738870328802204,"SC416485-RECLUSTER"
"17","SC416513-RECLUSTER",1929.0645,27006.903,14,156707.634,136452.674,57258.72,11369.568,NA,NA,0.00937403459106508,"SC416513-RECLUSTER"
