"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324645",2079.50814285714,14556.557,7,129440.924,101708.268,24181.021,7789.93599999999,NA,NA,0.00505254781878583,"SC324645"
"2","SC324675",2281.39033333333,13688.342,6,134592.141,85923.956,20582.943,4185.94099999999,4233.78200000001,NA,0.00475119236745987,"SC324675"
"3","SC324678",2166.6582,10833.291,5,114767.03,93577.41,25614.66,5398.13800000001,NA,NA,0.00376021066055127,"SC324678"
"4","SC324680",2224.61025,17796.882,8,138271.351,94105.232,28258.231,4123.37799999997,5956.08100000001,NA,0.00617725725460278,"SC324680"
"5","SC324689",3312.241,19873.446,6,115542.045,83354.801,30080.506,NA,NA,11624.982,0.00689802789485577,"SC324689"
"6","SC324693",1973.04585714286,13811.321,7,128841.034,88698.508,24418.102,7191.94200000001,NA,NA,0.00479387809858478,"SC324693"
"7","SC324711",1662.933,4988.799,3,124860.736,106780.65,16709.959,NA,NA,NA,0.00173160078346898,"SC324711"
"8","SC324719",1700.83133333333,5102.494,3,123856.41,86087.576,25940.08,NA,NA,NA,0.00177106405931484,"SC324719"
"9","SC324731",1808.76633333333,5426.299,3,142066.216,99534.484,27062.322,2075.14600000001,NA,NA,0.00188345603816409,"SC324731"
"10","SC324745",1897.64033333333,17078.763,9,118397.502,92444.579,37681.924,4864.16699999999,NA,NA,0.00592799978341102,"SC324745"
"11","SC324756",1874.3158,9371.579,5,124598.721,100137.392,25337.245,4369.552,NA,NA,0.00325285375072066,"SC324756"
"12","SC324776",2083.55725,8334.229,4,125131.212,93175.189,16172.113,6594.08600000001,NA,NA,0.00289279192567388,"SC324776"
"13","SC324780",2160.862,4321.724,2,129365.808,84381.21,25877.672,4321.72399999999,NA,NA,0.00150006056855302,"SC324780"
"14","SC324800",2235.29128571429,15647.039,7,128426.672,97781.498,28797.54,4514.353,4285.18299999999,NA,0.00543105164015824,"SC324800"
"15","SC333420",1831.75577777778,16485.802,9,115789.273,111084.653,22302.667,4791.56700000001,NA,NA,0.00572218436928699,"SC333420"
"16","SC333442",NA,NA,NA,133272.783,93632.269,28232.175,NA,NA,NA,NA,"SC333442"
"17","SC333456",2059.59666666667,12357.58,6,126066.01,90193.524,30841.596,5442.79999999999,NA,NA,0.00428928790472029,"SC333456"
"18","SC333458",2171.56957142857,15200.987,7,125172.154,89989.799,30584.927,2050.89600000001,4448.46099999998,NA,0.00527622800571878,"SC333458"
"19","SC333468",2012.9918,10064.959,5,129055.61,98659.824,28675.182,4922.959,NA,NA,0.00349352437129321,"SC333468"
"20","SC333479",2104.215,6312.645,3,117619.435,104670.221,25802.108,4401.30499999999,NA,NA,0.00219110471834234,"SC333479"
"21","SC333504",1787.026,5361.078,3,129004.69,85812.992,15776.67,NA,NA,NA,0.00186081797744073,"SC333504"
"22","SC333514",2184.42228571429,15290.956,7,118115.231,91984.137,31811.89,4335.51999999999,4360.01000000001,NA,0.00530745604094087,"SC333514"
"23","SC333515",2194.818,2194.818,1,133750.875,95792.074,26616.969,2194.818,NA,NA,0.000761816334627198,"SC333515"
"24","SC333525",2600.69925,10402.797,4,135756.15,95855.038,24936.641,6924.12899999999,NA,NA,0.00361078717251764,"SC333525"
"25","SC333536",1700.276,15302.484,9,134124.097,96112.158,32173.531,NA,NA,NA,0.00531145738351487,"SC333536"
"26","SC333537",1752.446,3504.892,2,122647.809,89481.899,19884.269,NA,NA,NA,0.00121654003963162,"SC333537"
"27","SC333542",1540.198,4620.594,3,132949.484,93772.858,29869.468,NA,NA,NA,0.00160379766562896,"SC333542"
"28","SC333545",2075.8936,10379.468,5,116864.295,118974.596,26185.146,3372.18299999996,NA,NA,0.00360268972969071,"SC333545"
"29","SC333588",1897.3476,9486.738,5,129379.778,106767.751,35979.889,3097.31099999999,NA,NA,0.00329282517763594,"SC333588"
"30","SC333593",2081.1435,12486.861,6,129522.809,100708.489,25150.349,7374.04600000003,NA,NA,0.00433416104570826,"SC333593"
"31","SC333601",2787.694,11150.776,4,124741.497,85152.449,29601.921,NA,5670.56200000001,NA,0.00387040898177841,"SC333601"
"32","SC333608",3226.231875,25809.855,8,124144.474,91001.477,22096.683,10099.009,NA,10988.066,0.00895854195352847,"SC333608"
"33","SC333820",1959.57822222222,17636.204,9,129766.595,112673.427,20876.991,9617.92300000001,NA,NA,0.00612148628634243,"SC333820"
"34","SC333826",2747.26733333333,8241.802,3,129238.902,96366.019,15782.478,2085.29300000001,4654.54199999999,NA,0.0028607107242437,"SC333826"
"35","SC333827",2009.41575,8037.663,4,128323.095,89532.469,23336.424,4908.356,NA,NA,0.00278985454175638,"SC333827"
"36","SC333830",16561.812,33123.624,2,120161.723,104112.947,27077.594,NA,NA,31244.632,0.0114971345347311,"SC333830"
"37","SC333842",1961.0122,9805.061,5,139566.344,87952.034,23729.592,5049.22,NA,NA,0.00340331436675665,"SC333842"
"38","SC333856",1737.56514285714,12162.956,7,131707.032,83984.598,23101.865,2268.70699999999,NA,NA,0.0042217343570865,"SC333856"
"39","SC333879",4883.53166666667,43951.785,9,140183.064,86851.856,21317.804,5371.68500000003,11152.34,22595.89,0.015255564583953,"SC333879"
"40","SC333885",1626.87533333333,4880.626,3,144431.056,97351.756,19390.509,NA,NA,NA,0.00169405418126068,"SC333885"
