"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324642",4023.5458,20117.729,5,38444.955,35317.756,8204.47100000001,3413.18799999999,4599.136,8469.54,0.00698281796841619,"SC324642"
"2","SC324685",2286.6875,9146.75,4,45681.687,34547.73,13129.507,7546.224,NA,NA,0.00317481611630273,"SC324685"
"3","SC324697",1953.241,5859.723,3,43440.619,26876.119,14572.838,2202.522,NA,NA,0.00203389652253202,"SC324697"
"4","SC324769",1509.63,1509.63,1,51534.74,32691.555,14439.15,NA,NA,NA,0.000523989138617989,"SC324769"
"5","SC324801",1749.01633333333,5247.049,3,43435.746,23434.855,19089.141,NA,NA,NA,0.00182123877095472,"SC324801"
"6","SC324804",1614.39,1614.39,1,42079.968,33379.577,10050.807,NA,NA,NA,0.00056035109629081,"SC324804"
"7","SC324817",1956.936,11741.616,6,45735.204,39321.716,16765.687,5002.868,NA,NA,0.00407548820162768,"SC324817"
"8","SC324827",2498.07366666667,7494.221,3,42725.52,31590.172,9015.27900000001,5710.586,NA,NA,0.00260122705987748,"SC324827"
"9","SC333439",5117.2945,10234.589,2,43859.33,32950.346,7517.67599999999,NA,NA,8634.239,0.00355240255838791,"SC333439"
"10","SC333443",1910.8284,9554.142,5,45633.761,24750.909,11539.362,2790.98,NA,NA,0.00331622095269301,"SC333443"
"11","SC333452",2249.645,11248.225,5,51371.868,30120.98,9152.30900000001,7979.712,NA,NA,0.00390423330798363,"SC333452"
"12","SC333472",NA,NA,NA,43775.514,25303.636,1032.602,NA,NA,NA,NA,"SC333472"
"13","SC333486",2190.23666666667,6570.71,3,43978.183,34792.472,10317.506,3174.56800000001,NA,NA,0.00228067849274895,"SC333486"
"14","SC333489",2314.7595,9259.038,4,44185.102,32240.937,11055.766,6057.861,NA,NA,0.00321379102564948,"SC333489"
"15","SC333604",1704.531,3409.062,2,40997.845,26261.499,9822.565,NA,NA,NA,0.0011832776646432,"SC333604"
"16","SC333838",2044.545,2044.545,1,49866.27,36558.368,6962.56299999999,2044.545,NA,NA,0.000709656918195661,"SC333838"
"17","SC333839",1510.759,1510.759,1,46152.157,21442.462,8172.63499999999,NA,NA,NA,0.000524381011949533,"SC333839"
"18","SC333862",1854.163,1854.163,1,56101.154,33998.569,7829.639,NA,NA,NA,0.000643575759111402,"SC333862"
"19","SC333863",1668.282,1668.282,1,51557.806,25445.568,8808.757,NA,NA,NA,0.000579056886887446,"SC333863"
"20","SC333913",1623.103,1623.103,1,44751.573,26565.857,6587.61300000001,NA,NA,NA,0.000563375358768886,"SC333913"
"21","SC334063",2312.557,4625.114,2,42828.584,32798.1,4541.55100000001,2683.882,NA,NA,0.00160536654734604,"SC334063"
"22","SC334075",1722.765,1722.765,1,50608.313,35061.41,9726.003,NA,NA,NA,0.000597967812239568,"SC334075"
"23","SC334081",3567.7705,7135.541,2,55208.113,44020.035,8403.74800000001,NA,5543.988,NA,0.00247673004786825,"SC334081"
"24","SC334260",2561.67666666667,7685.03,3,56005.024,31074.127,4266.595,5851.913,NA,NA,0.00266745642969032,"SC334260"
"25","SC334311",2165.56033333333,6496.681,3,52343.81,26359,13579.127,3360.70499999999,NA,NA,0.00225498319526364,"SC334311"
"26","SC334321",2668.564,2668.564,1,41469.093,28548.583,10357.822,2668.564,NA,NA,0.000926252493463282,"SC334321"
"27","SC334323",1762.0854,8810.427,5,50809.185,26226.119,11534.599,2067.45199999999,NA,NA,0.00305807916813171,"SC334323"
"28","SC334326",2159.08133333333,6477.244,3,47689.237,26216.614,8345.69100000001,2832.379,NA,NA,0.00224823665678248,"SC334326"
"29","SC334329",1688.25,1688.25,1,58071.814,32879.013,11802.461,NA,NA,NA,0.000585987734260593,"SC334329"
"30","SC334331",1506.607,1506.607,1,39304.036,36804.12,5522.87699999999,NA,NA,NA,0.000522939862195261,"SC334331"
"31","SC334647",NA,NA,NA,51513.42,39500.1,15570.245,NA,NA,NA,NA,"SC334647"
"32","SC358935",2727.37533333333,8182.126,3,47997.652,32592.476,11981.027,6609.901,NA,NA,0.00283999732040556,"SC358935"
"33","SC358952",2616.51266666667,7849.538,3,47714.808,25939.586,8222.55100000001,7849.538,NA,NA,0.00272455678223748,"SC358952"
"34","SC359010",1997.452,1997.452,1,38021.088,27011.652,15325.927,NA,NA,NA,0.000693311045031418,"SC359010"
"35","SC359017",NA,NA,NA,45550.536,29897.04,8093.179,NA,NA,NA,NA,"SC359017"
"36","SC359021",1633.1015,3266.203,2,50600.049,37441.521,8862.42199999999,NA,NA,NA,0.00113369163074494,"SC359021"
"37","SC359025",2242.532,4485.064,2,57684.058,39957.535,8969.71000000001,2978.14,NA,NA,0.00155675551095735,"SC359025"
"38","SC359026",2367.4655,9469.862,4,48222.693,39473.969,8731.99400000001,7828.829,NA,NA,0.00328696755642855,"SC359026"
"39","SC371784",2023.629,2023.629,1,53997.533,29696.574,4579.228,2023.629,NA,NA,0.000702397022179198,"SC371784"
"40","SC371821",3043.986,3043.986,1,49236.206,22349.476,3902.03,3043.986,NA,NA,0.00105656061558476,"SC371821"
"41","SC371827",2313.17,4626.34,2,55387.151,25996.22,5804.355,4626.34000000001,NA,NA,0.00160579208915691,"SC371827"
"42","SC371829",NA,NA,NA,54313.392,30445.918,2497.923,NA,NA,NA,NA,"SC371829"
"43","SC371837",2001.7815,4003.563,2,47970.554,31191.217,7759.70800000001,2439.28099999999,NA,NA,0.00138962760926376,"SC371837"
"44","SC371847",1782.49,5347.47,3,50676.277,27290.914,11391.602,2082.094,NA,NA,0.00185609467159869,"SC371847"
"45","SC371864",3077.069,3077.069,1,50035.831,34148.571,9757.90399999999,3077.069,NA,NA,0.00106804364962151,"SC371864"
"46","SC371865",1674.233,1674.233,1,43704.7,25340.869,6761.071,NA,NA,NA,0.000581122465449025,"SC371865"
"47","SC371866",2080.195,6240.585,3,57496.625,32225.172,14741.205,2910.40300000001,NA,NA,0.00216609285627759,"SC371866"
"48","SC371882",2918.711,2918.711,1,46580.285,29699.436,2668.292,2918.711,NA,NA,0.0010130779480832,"SC371882"
"49","SC371909",1829.494,3658.988,2,40101.177,25467.753,11437.939,NA,NA,NA,0.0012700264106659,"SC371909"
