"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC434094",1834.03144444444,16506.283,9,146087.374,131535.928,46231.931,4201.77100000001,NA,NA,0.00572929327779307,"SC434094"
"2","SC434096",2024.8465,28347.851,14,154011.549,127679.146,60525.905,8741.37400000001,4666.45799999998,NA,0.00983947459123169,"SC434096"
"3","SC434100",1853.42177777778,16680.796,9,148939.722,133204.599,42329.214,6869.45200000005,NA,NA,0.00578986634307903,"SC434100"
"4","SC434116",2079.37844444444,18714.406,9,158364,128932.473,45054.455,8048.89299999998,NA,NA,0.00649572774765162,"SC434116"
"5","SC434117",2594.75666666667,23352.81,9,155204.311,122770.133,39744.744,10747.096,5271.799,NA,0.00810570722376314,"SC434117"
"6","SC434121",1783.91911111111,16055.272,9,152885.936,120187.394,56094.146,NA,NA,NA,0.00557274838573526,"SC434121"
"7","SC434123",2162.4171,21624.171,10,145267.202,126048.754,43584.766,13076.439,NA,NA,0.00750570055948682,"SC434123"
"8","SC434128",1808.191,10849.146,6,148432.185,124828.936,38420.595,2152.72499999998,NA,NA,0.00376571389498142,"SC434128"
"9","SC434148",4469.90283333333,53638.834,12,151279.936,114062.688,47211.765,7694.13799999998,4987.96899999998,28510.928,0.0186179172539849,"SC434148"
"10","SC434151",1883.409,11300.454,6,150098.515,114587.184,35797.29,4582.598,NA,NA,0.00392236187506356,"SC434151"
"11","SC434152",1954.02166666667,11724.13,6,158790.857,118942.285,30193.128,4899.03899999999,NA,NA,0.00406941885080803,"SC434152"
"12","SC434153",1737.767,8688.835,5,155540.278,131887.543,34033.461,NA,NA,NA,0.00301587486155139,"SC434153"
"13","SC434164",6308.7624,63087.624,10,148310.468,123292.137,30789.936,10164.258,9538.79399999999,36588.329,0.0218975707671519,"SC434164"
"14","SC434165",1857.8032,9289.016,5,161576.096,134392.92,43089.468,4495.36499999999,NA,NA,0.00322419632125005,"SC434165"
"15","SC434168",1888.8318,9444.159,5,148903.478,112904.367,34911.092,4664.57700000005,NA,NA,0.00327804610360242,"SC434168"
"16","SC434170",2249.76258333333,26997.151,12,145848.008,116405.531,36092.973,7002.32900000003,6612.34099999996,NA,0.00937064969405071,"SC434170"
"17","SC434172",1842.737125,14741.897,8,146631.568,133549.926,23676.831,6819.45699999999,NA,NA,0.00511687891114055,"SC434172"
"18","SC434173",1970.54315384615,25617.061,13,143748.776,134942.599,35352.428,12533.615,NA,NA,0.00889162359473147,"SC434173"
"19","SC434176",4112.10233333333,49345.228,12,154149.649,128075.656,36604.574,6856.23099999997,10372.873,22038.494,0.017127616379264,"SC434176"
"20","SC434178",2135.39190909091,23489.311,11,151836.31,135302.663,41887.409,6730.89400000003,5293.24300000002,NA,0.00815308641032574,"SC434178"
"21","SC434180",6229.27876923077,80980.624,13,143894.909,131606.069,44088.168,10868.338,12955.415,49967.112,0.0281081903608879,"SC434180"
"22","SC434181",3545.3719,35453.719,10,147295.163,133272.781,40350.499,6124.93599999999,22789.165,NA,0.0123059052083055,"SC434181"
"23","SC434182",2319.21391666667,27830.567,12,152235.468,122089.446,39292.589,7604.15299999999,6365.23699999996,NA,0.0096599264916438,"SC434182"
"24","SC434183",4139.658,57955.212,14,140016.743,124606.125,49506.03,8891.32400000002,10408.323,25072.571,0.0201161222381,"SC434183"
"25","SC434184",2544.8145,15268.887,6,163892.062,108047.244,41741.418,3211.364,5720.13099999999,NA,0.00529979594124746,"SC434184"
"26","SC434185",1649.75414285714,11548.279,7,137111.164,127859.604,39135.664,NA,NA,NA,0.004008381368766,"SC434185"
"27","SC434202",2896.30616666667,34755.674,12,153598.907,130770.523,50088.602,9535.85599999997,5981.93800000002,9104.862,0.0120636153768457,"SC434202"
"28","SC434204",3245.59569230769,42192.744,13,150726.058,135850.623,35414.088,13477.932,NA,19983.127,0.0146450054546407,"SC434204"
"29","SC434219",2139.8324,21398.324,10,150895.72,119980.82,30425.124,14981.832,NA,NA,0.00742730957958482,"SC434219"
"30","SC434222",3472.0386,34720.386,10,147210.958,130973.284,28582.251,11840.165,6193.66800000001,9701.835,0.0120513669923253,"SC434222"
"31","SC434223",5179.47127272727,113948.368,22,145182.973,127943.104,38971.617,16316.836,18068.305,67727.838,0.0395512193022433,"SC434223"
"32","SC434224",2725.82661538462,35435.746,13,141261.468,129818.023,43999.692,8000.96399999998,NA,11674.166,0.0122996668208938,"SC434224"
"33","SC434226",2917.1809,29171.809,10,153387.326,126943.15,28449.327,7704.29999999999,4328.54599999997,8566.11,0.0101254685385416,"SC434226"
"34","SC434229",2962.91633333333,44443.745,15,155059.933,128676.091,41278.094,20071.033,13876.696,NA,0.0154263227807526,"SC434229"
"35","SC434230",1939.33954545455,21332.735,11,145148.548,132548.057,54428.873,7894.00699999998,NA,NA,0.00740454378689866,"SC434230"
"36","SC434232",2361.738,16532.166,7,144943.902,140617.334,47485.595,7309.64299999998,4285.18300000002,NA,0.00573827720820969,"SC434232"
"37","SC434233",2611.45542857143,18280.188,7,166236.766,126336.251,45030.241,NA,NA,8327.574,0.00634501166769003,"SC434233"
"38","SC434234",1703.470625,13627.765,8,148765.103,131268.905,50169.306,2230.74900000001,NA,NA,0.00473016622857149,"SC434234"
"39","SC434235",2222.38058333333,26668.567,12,149587.374,107348.803,41526.112,8467.91899999999,5321.23700000002,NA,0.0092565989351736,"SC434235"
"40","SC434237",1847.60316666667,11085.619,6,154665.562,125479.445,44741.123,2368.71100000001,NA,NA,0.00384779313530945,"SC434237"
"41","SC434238",4012.0392,40120.392,10,161418.415,133894.308,38812.314,4334.73199999996,4265.76000000001,21927.17,0.0139256967900055,"SC434238"
"42","SC434240",2119.98466666667,19079.862,9,145184.743,127513.443,41567.965,6931.28899999999,4048.48300000001,NA,0.00662257669384558,"SC434240"
"43","SC434247",2063.62227272727,22699.845,11,146755.982,115463.665,38541.637,9329.84000000003,NA,NA,0.00787906455774717,"SC434247"
"44","SC434305",1749.373,10496.238,6,146111.438,117744.773,41062.094,NA,NA,NA,0.00364322033104098,"SC434305"
"45","SC434314",1790.770625,14326.165,8,155236.238,128848.084,36589.08,2143.72899999999,NA,NA,0.00497257927972363,"SC434314"
"46","SC434315",4703.6355,47036.355,10,149769.9,116401.682,42867.437,6514.81199999998,NA,31939.984,0.0163262118136099,"SC434315"
"47","SC434317",4181.82183333333,75272.793,18,160384.263,123970.153,42264.783,20925.846,4372.48200000002,41837.536,0.0261270152060042,"SC434317"
"48","SC434323",4346.70718181818,47813.779,11,156429.578,131522.966,33534.323,9538.74099999998,NA,28165.586,0.0165960539153838,"SC434323"
"49","SC434325",5432.82716666667,32596.963,6,150728.576,121704.382,32897.087,3646.321,NA,23841.463,0.0113143316997757,"SC434325"
"50","SC434336",1689.40011111111,15204.601,9,157464.626,123781.398,42304.276,2122.49700000003,NA,NA,0.005277482416897,"SC434336"
"51","SC434337",1903.86875,22846.425,12,164481.499,124541.948,41142.905,11209.386,NA,NA,0.00792994214228022,"SC434337"
"52","SC434338",2150.08785714286,15050.615,7,150176.348,132004.707,39313.887,NA,4841.783,NA,0.00522403422661247,"SC434338"
"53","SC434340",1728.0931,17280.931,10,138872.273,145557.901,43831.084,6169.75600000005,NA,NA,0.00599817183628233,"SC434340"
"54","SC434341",2010.357,24124.284,12,146425.921,133209.607,49228.455,5039.95600000001,4329.76999999996,NA,0.0083734840940732,"SC434341"
"55","SC434342",4500.46592857143,63006.523,14,144852.754,135727.604,42455.597,9629.30799999996,4152.13800000004,37107.843,0.0218694207945553,"SC434342"
"56","SC434343",2576.33627272727,28339.699,11,150704.834,124209.682,36419.001,11831.469,6531.48600000003,NA,0.00983664505057735,"SC434343"
"57","SC434345",3428.92133333333,10286.764,3,154379.205,128101.482,38589.792,3784.57000000001,4841.783,NA,0.00357051238219069,"SC434345"
"58","SC434347",3482.35881818182,38305.947,11,156792.033,119106.345,54835.613,6675.55300000001,8387.91899999999,14755.945,0.0132959070583364,"SC434347"
"59","SC434351",2287.02907692308,29731.378,13,163715.437,144487.868,33565.687,7057.86499999999,9298.33299999998,NA,0.0103196936654318,"SC434351"
"60","SC434352",2290.057375,18320.459,8,165822.901,145589.224,33459.153,4217.84399999998,5305.32100000005,NA,0.0063589896401742,"SC434352"
"61","SC434353",1831.57,23810.41,13,152357.971,112819.056,53910.19,7419.80099999998,NA,NA,0.0082645391427311,"SC434353"
"62","SC434355",2486.92028571429,17408.442,7,140418.684,132398.738,41912.279,5566.37300000002,5015.96899999998,NA,0.00604243061429702,"SC434355"
"63","SC434356",1837.915,18379.15,10,148568.595,130724.527,42120.8210000001,4379.82599999994,NA,NA,0.0063793611527532,"SC434356"
"64","SC434357",2397.55316666667,28770.638,12,142827.679,127472.452,43082.044,12921.013,5468.81999999995,NA,0.00998622299709861,"SC434357"
"65","SC434358",1810.862,14486.896,8,162984.157,117852.969,35235.558,4309.728,NA,NA,0.0050283686441634,"SC434358"
"66","SC434360",2855.46973333333,42832.046,15,147021.326,124025.278,49435.574,7768.522,8806.51500000001,11107.425,0.0148669057244398,"SC434360"
"67","SC434361",1872.35318181818,20595.885,11,149167.481,111446.108,36807.997,6303.36599999998,NA,NA,0.0071487848282196,"SC434361"
