"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324653",1917.38714285714,13421.71,7,151285.927,125110.466,32530.162,4558.94800000003,NA,NA,0.00465864500684303,"SC324653"
"2","SC324655",1780.181,10681.086,6,166713.606,120304.235,26327.319,4193.85100000002,NA,NA,0.003707380651315,"SC324655"
"3","SC324667",2029.9665,4059.933,2,155862,121163.803,31063.323,2166.71400000004,NA,NA,0.00140919350802299,"SC324667"
"4","SC324679",1722.32622222222,15500.936,9,158738.345,131137.99,38613.178,2362.96500000003,NA,NA,0.00538033962124002,"SC324679"
"5","SC324684",2309.45875,18475.67,8,154648.356,122737.732,36900.608,6719.01299999998,4846.12400000001,NA,0.00641286302517187,"SC324684"
"6","SC324690",1924.26483333333,11545.589,6,160045.103,119867.671,43035.216,4665.83100000001,NA,NA,0.0040074476758857,"SC324690"
"7","SC324698",2017.699,12106.194,6,148833.308,137163.804,43319.016,4545.63899999997,NA,NA,0.00420203239601907,"SC324698"
"8","SC324714",5100.81755555556,45907.358,9,163236.951,111739.93,33262.148,6530.62400000001,5414.82000000001,28675.317,0.0159343395233585,"SC324714"
"9","SC324732",2535.99,10143.96,4,154954.041,129393.6,39243.094,2470.20000000001,4291.37,NA,0.00352094543866731,"SC324732"
"10","SC324733",1762.3165,14098.532,8,151606.62,124210.21,38886.895,2249.25800000003,NA,NA,0.00489356838328475,"SC324733"
"11","SC324741",1998.68327272727,21985.516,11,160155.071,115064.567,43986.639,8108.87900000002,NA,NA,0.00763112258693323,"SC324741"
"12","SC324755",1698.1175,13584.94,8,153680.784,109044.706,43890.769,NA,NA,NA,0.00471530176849762,"SC324755"
"13","SC324770",2290.67345454545,25197.408,11,146574.477,113176.291,39562.01,6718.55100000004,6340.03899999999,NA,0.00874596299313475,"SC324770"
"14","SC324781",1800.35166666667,10802.11,6,153206.624,132039.885,33377.844,4722.31799999997,NA,NA,0.0037493878063875,"SC324781"
"15","SC324783",2109.7665,16878.132,8,151736.813,128496.124,35552.583,8227.91899999999,NA,NA,0.00585836121974306,"SC324783"
"16","SC324784",2002.74128571429,14019.189,7,156695.752,123166.88,40480.331,5573.66999999998,NA,NA,0.00486602860848869,"SC324784"
"17","SC324786",1833.61966666667,11001.718,6,149203.005,128320.976,35650.118,4326.516,NA,NA,0.00381867128908277,"SC324786"
"18","SC324792",2100.408,14702.856,7,154622.629,128137.027,28205.817,5913.92800000001,NA,NA,0.00510332786885815,"SC324792"
"19","SC324795",1649.5694,8247.847,5,153174.487,129692.468,37609.606,NA,NA,NA,0.00286280892999143,"SC324795"
"20","SC324796",1826.9705,14615.764,8,153674.05,122253.938,40161.409,4129.391,NA,NA,0.00507309843379094,"SC324796"
"21","SC324798",1738.07677777778,15642.691,9,147678.871,126240.652,44700.575,NA,NA,NA,0.00542954245924986,"SC324798"
"22","SC324810",1976.69366666667,17790.243,9,143822.818,107602.044,51928.137,7870.09100000001,NA,NA,0.00617495287280639,"SC324810"
"23","SC324811",1797.87214285714,12585.105,7,158467.415,114311.249,35167.364,2107.62099999998,NA,NA,0.00436826131460487,"SC324811"
"24","SC333428",1759.97275,14079.782,8,142460.967,110383.319,38074.766,4288.69199999998,NA,NA,0.00488706030094067,"SC333428"
"25","SC333435",1794.3199,17943.199,10,154748.004,116111.4,50009.274,2719.44099999999,NA,NA,0.00622804355243414,"SC333435"
"26","SC333451",1852.64344444444,16673.791,9,162414.719,119477.42,37497.45,4483.13400000002,NA,NA,0.00578743492351528,"SC333451"
"27","SC333453",1912.77711111111,17214.994,9,149790.281,121610.988,42190.116,9430.36699999997,NA,NA,0.00597528525358786,"SC333453"
"28","SC333474",1868.16275,14945.302,8,156700.097,125007.772,40135.252,6800.86600000004,NA,NA,0.00518748032389771,"SC333474"
"29","SC333477",1969.311125,15754.489,8,151107.812,128977.445,38937.781,5383.02100000001,NA,NA,0.00546834729071135,"SC333477"
"30","SC333480",1922.56641666667,23070.797,12,156271.891,127700.937,37199.427,10876.526,NA,NA,0.00800782115303782,"SC333480"
"31","SC333490",2052.329,6156.987,3,152491.071,130210.185,34163.121,2616.07900000003,NA,NA,0.00213707618066159,"SC333490"
"32","SC333506",2884.56733333333,8653.702,3,165836.355,123122.377,32351.432,7139.11499999999,NA,NA,0.00300368027717836,"SC333506"
"33","SC333513",1690.2056,8451.028,5,164462.97,114695.661,46055.368,2094.21100000001,NA,NA,0.00293333259285819,"SC333513"
"34","SC333533",1990.0455,19900.455,10,161556.644,127842.189,37609.687,7983.212,NA,NA,0.00690740265731076,"SC333533"
"35","SC333539",1739.97244444444,15659.752,9,153945.715,126957.228,45011.971,2299.35200000001,NA,NA,0.00543546429353638,"SC333539"
"36","SC333540",1716.848625,13734.789,8,147216.775,130812.412,29162.42,2038.01199999999,NA,NA,0.00476731401549375,"SC333540"
"37","SC333546",1764.63328571429,12352.433,7,156763.277,130946.085,39907.46,4448.95000000001,NA,NA,0.00428750139272962,"SC333546"
"38","SC333548",1972.45466666667,11834.728,6,156978.687,111301.088,42551.382,2932.80499999999,NA,NA,0.0041078071649995,"SC333548"
"39","SC333594",1668.898,6675.592,4,143620.837,116455.78,31760.897,NA,NA,NA,0.00231708279634423,"SC333594"
"40","SC333597",2014.26914285714,14099.884,7,154260.083,117603.678,30748.018,9260.76000000001,NA,NA,0.00489403765940897,"SC333597"
"41","SC333605",1690.75442857143,11835.281,7,154028.028,140935.313,44150.992,NA,NA,NA,0.00410799911004143,"SC333605"
"42","SC333611",1791.32709090909,19704.598,11,156558.444,128196.454,43363.23,4774.17899999995,NA,NA,0.00683942113818203,"SC333611"
"43","SC333821",1692.40011111111,15231.601,9,152130.056,115130.122,47526.31,NA,NA,NA,0.00528685405547246,"SC333821"
"44","SC333822",1937.1178,9685.589,5,145018.899,127614.456,35487.159,2515.46299999999,NA,NA,0.00336184590735337,"SC333822"
"45","SC333828",3176.35428571429,22234.48,7,152874.066,136284.013,27704.365,8147.91599999997,10400.817,NA,0.00771753742494446,"SC333828"
"46","SC333829",1899.6025,15196.82,8,152296.303,136557.344,36167.52,7090.77899999998,NA,NA,0.00527478164949863,"SC333829"
"47","SC333832",1996.97885714286,13978.852,7,152674.855,127100.367,33073.238,5730.424,NA,NA,0.00485202772755467,"SC333832"
"48","SC333855",1667.45225,6669.809,4,151959.905,127928.797,35617.507,NA,NA,NA,0.00231507553020045,"SC333855"
"49","SC333873",1886.974,7547.896,4,158727.309,135471.792,34381.704,2611.55300000001,NA,NA,0.00261985753026779,"SC333873"
"50","SC333874",2026.40566666667,6079.217,3,150429.258,109656.758,36469.003,2743.42800000001,NA,NA,0.00211008239058699,"SC333874"
"51","SC333875",1833.396,16500.564,9,151147.715,132256.747,38671.31,4610.03499999997,NA,NA,0.00572730822590369,"SC333875"
"52","SC333888",1700.2314,8501.157,5,146518.39,138399.256,43236.346,2051.67999999999,NA,NA,0.00295073225471558,"SC333888"
"53","SC333910",4221.07736363636,46431.851,11,148400.963,128911.184,33300.803,8568.804,NA,29727.231,0.016116389850446,"SC333910"
"54","SC333945",1761.32466666667,15851.922,9,147502.741,110072.432,41270.392,2160.71999999997,NA,NA,0.00550216606335297,"SC333945"
"55","SC333951",1785.81457142857,12500.702,7,150507.98,138737.945,30757.973,2263.25900000002,NA,NA,0.00433896522532022,"SC333951"
"56","SC334116",1729.53214285714,12106.725,7,161442.463,100252.481,44227.102,2279.424,NA,NA,0.00420221670491105,"SC334116"
"57","SC334146",2025.42025,16203.362,8,153585.883,130225.506,34596.827,5207.57299999997,NA,NA,0.00562415008783308,"SC334146"
"58","SC334147",1951.938,21471.318,11,154016.219,126471.486,43769.537,7898.348,NA,NA,0.00745264563092474,"SC334147"
"59","SC334152",2300.10833333333,27601.3,12,154731.877,118070.653,44182.384,12943.857,4285.18300000002,NA,0.00958034843752224,"SC334152"
"60","SC334155",1761.0375,7044.15,4,155066.936,136111.118,30735.282,2087.31799999997,NA,NA,0.00244500843968118,"SC334155"
"61","SC334158",1824.6435,18246.435,10,152004.086,112617.206,48590.886,4257.43199999997,NA,NA,0.00633329607817752,"SC334158"
"62","SC334159",1756.1445,3512.289,2,159351.404,127561.767,29321.043,NA,NA,NA,0.00121910752150357,"SC334159"
"63","SC334160",1751.587,7006.348,4,157738.863,105565.218,37446.153,NA,NA,NA,0.00243188745148008,"SC334160"
"64","SC334162",1998.147,7992.588,4,153952.679,129159.79,29255.968,4620.22000000003,NA,NA,0.00277420911180122,"SC334162"
"65","SC334165",2127.86091666667,25534.331,12,153968.016,128670.817,42513.238,7538.85499999998,4460.39900000003,NA,0.00886290819994079,"SC334165"
"66","SC334207",1885.82084615385,24515.671,13,153452.064,130968.904,49229.837,9198.19500000001,NA,NA,0.00850933363137458,"SC334207"
"67","SC334210",1947.21128571429,13630.479,7,157344.199,135894.854,31389.956,8665.32699999999,NA,NA,0.00473110825179719,"SC334210"
"68","SC334212",1793.366375,14346.931,8,147283.21,122588.293,51851.274,2464.43900000001,NA,NA,0.00497978711108134,"SC334212"
"69","SC334240",1779.91715384615,23138.923,13,158045.713,108938.161,53380.865,4264.24800000002,NA,NA,0.00803146753265235,"SC334240"
"70","SC334247",1929.57975,7718.319,4,150024.044,132199.858,26807.139,6214.01399999997,NA,NA,0.00267901096585843,"SC334247"
"71","SC334639",2264.33366666667,20379.003,9,154855.297,157520.169,30715.555,11521.273,NA,NA,0.00707350557942238,"SC334639"
"72","SC334641",1750.269,17502.69,10,155682.636,128220.776,38973.6,4866.27100000001,NA,NA,0.00607514388068446,"SC334641"
"73","SC334644",1873.448875,14987.591,8,154468.553,128394.626,45180.344,6798.07300000003,NA,NA,0.00520215873959097,"SC334644"
"74","SC358803",2085.90744444444,18773.167,9,154908.519,123566.449,43963.577,8206.467,NA,NA,0.00651612355707137,"SC358803"
"75","SC358808",2018.506375,16148.051,8,151090.211,122678.363,39263.372,NA,4450.91000000003,NA,0.00560495176556464,"SC358808"
"76","SC358849",1921.86183333333,11531.171,6,157432.161,117602.724,41118.607,2502.25299999997,NA,NA,0.0040024432208864,"SC358849"
"77","SC358852",2038.34883333333,12230.093,6,169988.566,125237.088,34327.12,5851.88900000002,NA,NA,0.004245037457051,"SC358852"
"78","SC358882",1687.66055555556,15188.945,9,142883.895,139426.126,48497.481,NA,NA,NA,0.00527204825491412,"SC358882"
"79","SC358898",1977.45671428571,13842.197,7,148332.637,123625.884,31257.25,9203.223,NA,NA,0.00480459508794242,"SC358898"
"80","SC358910",1830.26575,7321.063,4,150667.622,130689.791,34705.806,NA,NA,NA,0.00254112431200892,"SC358910"
"81","SC358911",1836.36083333333,11018.165,6,155361.252,134490.721,34470.509,2230.55499999999,NA,NA,0.00382438000536613,"SC358911"
"82","SC358916",1798.945,10793.67,6,147138.321,122664.311,34653.307,2004.68099999998,NA,NA,0.00374645830158835,"SC358916"
"83","SC358921",1640.112,3280.224,2,153739.193,118284.239,26599.152,NA,NA,NA,0.00113855828794741,"SC358921"
"84","SC358922",1719.0906,8595.453,5,144673.607,140600.853,28757.195,NA,NA,NA,0.00298346218179382,"SC358922"
"85","SC358926",2704.22616666667,16225.357,6,158678.984,114836.77,34387.147,5761.49099999998,5390.82300000003,NA,0.00563178450229484,"SC358926"
"86","SC358941",1616.43383333333,9698.603,6,154708.708,129994.205,39149.059,NA,NA,NA,0.00336636303714675,"SC358941"
"87","SC358944",1793.4082,17934.082,10,155617.661,122288.164,35657.918,6132.39199999999,NA,NA,0.00622487906247516,"SC358944"
"88","SC358951",1674.15183333333,10044.911,6,145593.373,132554.045,38228.657,2107.62099999998,NA,NA,0.00348656575610206,"SC358951"
"89","SC358990",1647.42866666667,4942.286,3,147573.506,128474.512,33638.001,NA,NA,NA,0.00171545622698525,"SC358990"
"90","SC358992",1743.480375,13947.843,8,155149.587,124631.397,35819.8,4121.91200000001,NA,NA,0.0048412645741996,"SC358992"
"91","SC359179",1822.39244444444,16401.532,9,151832.683,125189.859,44198.058,6259.261,NA,NA,0.00569293444399977,"SC359179"
"92","SC359196",1835.86975,14686.958,8,151195.198,132418.482,44017.758,4563.97199999995,NA,NA,0.00509780970922582,"SC359196"
"93","SC359197",2607.059,7821.177,3,154204.236,108252.432,29428.872,NA,4497.54000000004,NA,0.00271471274365826,"SC359197"
"94","SC359210",1973.45457142857,13814.182,7,155027.02,116807.923,35697.032,5517.74300000002,NA,NA,0.00479487114517605,"SC359210"
"95","SC359213",3264.06185714286,22848.433,7,151643.476,121476.222,36972.333,4297.74400000001,13407.565,NA,0.00793063911451205,"SC359213"
"96","SC359216",1873.59633333333,11241.578,6,165724.789,126513.841,32345.072,4728.47100000002,NA,NA,0.00390192614940544,"SC359216"
"97","SC359222",1676.694,11736.858,7,146696.57,119808.95,30969.604,NA,NA,NA,0.00407383671065205,"SC359222"
"98","SC380798",1822.416,7289.664,4,152802.072,130718.426,26996.709,2269.65500000003,NA,NA,0.0025302257905411,"SC380798"
