"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC334083",2009.5075,8038.03,4,148619.831,133334.085,32727.435,2429.45899999997,NA,NA,0.00278998192662146,"SC334083"
"2","SC334084",1677.69466666667,5033.084,3,140056.834,131301.193,38737.198,NA,NA,NA,0.00174697200622138,"SC334084"
"3","SC334086",1741.1558,17411.558,10,155006.782,134706.946,39609.394,2081.527,NA,NA,0.00604351217080818,"SC334086"
"4","SC334088",1705.5625,10233.375,6,162169.126,129010.45,32597.636,2117.75300000003,NA,NA,0.00355198118174974,"SC334088"
"5","SC334097",1673.628,6694.512,4,166979.57,124175.606,31367.648,NA,NA,NA,0.00232364988530156,"SC334097"
"6","SC334102",1812.3075,14498.46,8,159106.95,120942.639,47190.829,2260.73300000001,NA,NA,0.0050323824822555,"SC334102"
"7","SC334287",1819.17971428571,12734.258,7,148401.975,132273.577,30283.997,2336.71299999999,NA,NA,0.00442003198158438,"SC334287"
"8","SC334293",1631.46175,13051.694,8,160976.323,128517.586,45456.644,NA,NA,NA,0.004530213295023,"SC334293"
"9","SC334295",1686.53266666667,5059.598,3,158782.741,134798.542,37359.415,NA,NA,NA,0.00175617495530249,"SC334295"
"10","SC334296",1905.121375,15240.971,8,151769.358,130570.296,38817.493,5152.81300000002,NA,NA,0.00529010636115588,"SC334296"
"11","SC358826",1731.34628571429,12119.424,7,148723.141,136915.663,33856.087,2253.03999999998,NA,NA,0.00420662449892105,"SC358826"
"12","SC358831",2224.62371428571,15572.366,7,148981.188,114738.024,28861.496,5181.57699999999,4142.94400000002,NA,0.00540513281173801,"SC358831"
"13","SC358834",1883.639125,15069.113,8,153133.989,144623.962,33066.096,6830.951,NA,NA,0.00523045484032984,"SC358834"
"14","SC358839",2006.8953,20068.953,10,162460.011,122160.664,37111.479,12143.242,NA,NA,0.00696588792978074,"SC358839"
"15","SC358840",1733.431125,13867.449,8,136442.78,129595.844,31005.162,2390.52799999999,NA,NA,0.00481335999969455,"SC358840"
"16","SC358841",1980.279625,15842.237,8,146703.484,108746.272,47743.999,5405.53899999999,NA,NA,0.00549880442188618,"SC358841"
"17","SC358842",1928.523,23142.276,12,158449.023,125265.899,29818.599,11871.655,NA,NA,0.00803263135132433,"SC358842"
"18","SC358844",2104.3468,10521.734,5,158728.961,119350.821,46983.391,5662.45000000001,NA,NA,0.00365206993463803,"SC358844"
"19","SC358846",1940.98854545455,21350.874,11,156310.536,143385.379,36672.375,9408.59600000002,NA,NA,0.00741083979253275,"SC358846"
"20","SC358847",1823.18555555556,16408.67,9,157012.343,118979.664,38801.224,2682.29000000004,NA,NA,0.00569541202756095,"SC358847"
"21","SC358850",1875.470375,15003.763,8,153724.122,132663.68,37827.227,4807.065,NA,NA,0.00520777200399995,"SC358850"
"22","SC358855",2214.83716666667,13289.023,6,152322.114,118750.118,35061.295,9470.78999999998,NA,NA,0.00461258965100365,"SC358855"
"23","SC358856",1983.25042857143,27765.506,14,154940.802,124910.085,42882.42,12313.112,NA,NA,0.00963734396655644,"SC358856"
"24","SC358860",2331.86688888889,20986.802,9,147518.02,124331.161,38890.731,NA,7577.04200000002,NA,0.00728447122959022,"SC358860"
"25","SC358880",3573.888,39312.768,11,153755.64,136499.017,37827.444,2101.48499999999,5405.31599999999,18058.148,0.0136453723369361,"SC358880"
