"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC334082",2668.81275,32025.753,12,123374.494,113384.665,31911.731,32025.753,NA,NA,0.0111160660082686,"SC334082"
"2","SC334085",2615.76015384615,34004.882,13,128691.136,104622.288,41348.718,15329.499,10482.156,NA,0.0118030171816845,"SC334085"
"3","SC334087",2546.46691666667,30557.603,12,125583.138,107624.015,34223.406,15693.177,4937.58199999999,NA,0.0106064744832843,"SC334087"
"4","SC334092",2078.05,20780.5,10,132255.926,99784.028,35003.653,10683.547,NA,NA,0.00721286427472368,"SC334092"
"5","SC334093",2730.01411111111,24570.127,9,128524.575,94504.789,24602.272,14524.331,4758.06400000001,NA,0.00852823518508813,"SC334093"
"6","SC334095",2004.9936,10024.968,5,146763.031,101179.98,36097.34,5345.598,NA,NA,0.00347964358617204,"SC334095"
"7","SC334096",2308.49975,27701.997,12,130501.742,97498.605,39123.021,20288.248,NA,NA,0.00961530013713831,"SC334096"
"8","SC334098",1952.13327272727,21473.466,11,142914.74,99710.546,40507.109,10197.634,NA,NA,0.00745339119683808,"SC334098"
"9","SC334099",2313.8036,23138.036,10,136220.363,101192.811,35614.467,10150.824,4866.41599999997,NA,0.00803115965697026,"SC334099"
"10","SC334103",2042.615875,32681.854,16,117208.204,97608.838,42515.723,16883.251,NA,NA,0.0113437971727502,"SC334103"
"11","SC334104",2400.46308333333,28805.557,12,135210.701,96216.197,43714.198,4575.25999999995,NA,9103.561,0.00999834330255849,"SC334104"
"12","SC334105",2891.91853333333,43378.778,15,136316.802,97603.899,38848.454,15763.243,8284.55100000004,8778.603,0.015056675157834,"SC334105"
"13","SC334289",2139.448,12836.688,6,133469.608,100780.467,35560.157,6171.26799999998,NA,NA,0.00445558520155791,"SC334289"
"14","SC334290",2936.04935714286,41104.691,14,141455.223,117293.796,30060.835,15323.189,17280.222,NA,0.0142673447336424,"SC334290"
"15","SC334298",2308.82625,27705.915,12,134680.351,102234.475,50925.068,7774.81700000004,6404.22200000001,NA,0.00961666006602493,"SC334298"
"16","SC334301",2165.9395,30323.153,14,140162.128,107840.004,43691.268,14773.059,NA,NA,0.010525097421654,"SC334301"
"17","SC334308",2866.39066666667,17198.344,6,141813.98,104061.98,32819.744,8652.84399999998,5296.13400000002,NA,0.00596950607646632,"SC334308"
"18","SC334309",1824.67007142857,25545.381,14,139879.555,85576.216,58965.753,4428.39000000001,NA,NA,0.00886674362980223,"SC334309"
"19","SC358797",2075.93772727273,22835.315,11,113798.037,114814.905,43415.863,11139.907,NA,NA,0.00792608588655527,"SC358797"
"20","SC358800",2061.7345,28864.283,14,127445.001,86071.768,37449.754,15131.548,NA,NA,0.0100187269635579,"SC358800"
"21","SC358809",3644.9089,36449.089,10,132443.217,104131.367,43282.006,NA,NA,22945.87,0.012651395870856,"SC358809"
"22","SC358813",2108.51322222222,18976.619,9,130163.721,101689.422,29894.619,10360.016,NA,NA,0.00658674128342161,"SC358813"
"23","SC358818",2262.3357,22623.357,10,125140.955,94511.263,29971.246,8304.758,4046.68899999998,NA,0.00785251574695604,"SC358818"
"24","SC358819",2390.184,2390.184,1,124225.773,95946.194,19083.323,2390.18399999998,NA,NA,0.000829627428772944,"SC358819"
"25","SC358820",2130.9506,10654.753,5,119035.935,100561.344,30356.033,3670.81099999999,NA,NA,0.00369824052692211,"SC358820"
"26","SC358824",2938.21554545455,32320.371,11,127117.601,111751.104,41312.078,19621.941,NA,9638.596,0.0112183272458177,"SC358824"
"27","SC358837",1802.13985714286,12614.979,7,124229.733,97448.315,36032.174,4145.878,NA,NA,0.00437863051204203,"SC358837"
