"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324647",2084.96966666667,12509.818,6,129124.627,97767.636,37023.157,5910.592,NA,NA,0.00434212936818148,"SC324647"
"2","SC324648",2238.12645454545,24619.391,11,133943.963,99110.677,37778.106,8545.28600000002,6352.08600000001,NA,0.00854533460741338,"SC324648"
"3","SC324662",2620.30683333333,15721.841,6,128955.041,88329.221,32348.863,4669.742,5859.614,NA,0.00545701524418498,"SC324662"
"4","SC324666",2366.31027272727,26029.413,11,138059.596,100121.109,39818.237,6631.815,9365.33300000004,NA,0.00903475003583784,"SC324666"
"5","SC324677",7327.219,51290.533,7,130321.41,102052.928,29411.426,2949.601,6606.84399999998,36828.842,0.0178028273192289,"SC324677"
"6","SC324695",1929.2022,19292.022,10,128662.231,100999.32,36486.778,6884.80499999999,NA,NA,0.00669621694718526,"SC324695"
"7","SC324709",2046.92311111111,18422.308,9,143733.782,94624.383,39805.768,2262.62899999996,4744.81600000005,NA,0.0063943411963695,"SC324709"
"8","SC324710",2115.91135714286,29622.759,14,131805.078,90585.034,42371.389,15578.832,NA,NA,0.0102819922576381,"SC324710"
"9","SC324723",1900.7625,22809.15,12,138972.552,87392.452,32183.889,9278.54299999998,NA,NA,0.00791700407458019,"SC324723"
"10","SC324729",1764.85025,14118.802,8,131800.042,95657.685,31404.43,2480.75200000001,NA,NA,0.00490060405417085,"SC324729"
"11","SC324739",1857.0668,9285.334,5,124987.817,97109.629,28882.306,4218.86499999999,NA,NA,0.00322291830742654,"SC324739"
"12","SC324747",1833.5018,18335.018,10,117710.894,95735.822,37078.219,6970.70999999999,NA,NA,0.00636404303595273,"SC324747"
"13","SC324757",2043.15114285714,14302.058,7,131232.283,111040.849,30795.513,7274.228,NA,NA,0.00496421179486663,"SC324757"
"14","SC324777",7834.09525,94009.143,12,116238.654,85156.707,23930.093,11266.53,12575.341,66882.38,0.0326303596661336,"SC324777"
"15","SC333434",2188.8894,10944.447,5,136194.029,90331.753,26117.438,7268.32999999999,NA,NA,0.0037987926552733,"SC333434"
"16","SC333438",2440.70525,19525.642,8,130660.442,106277.466,27900.975,10121.0980000001,4210.07199999999,NA,0.00677730591770382,"SC333438"
"17","SC333454",3868.53277777778,34816.795,9,131433.176,86506.881,33808.728,9405.038,7194.37399999998,11673.502,0.0120848303368965,"SC333454"
"18","SC333459",1931.78285714286,13522.48,7,128764.968,83959.289,26224.829,3216.296,NA,NA,0.00469362204459303,"SC333459"
"19","SC333487",2372.097,18976.776,8,141251.514,114832.315,33447.575,7287.84400000004,4333.40599999996,NA,0.00658679577776443,"SC333487"
"20","SC333488",2094.9562,10474.781,5,127516.806,94527.307,20228.127,7198.179,NA,NA,0.00363577265515529,"SC333488"
"21","SC333491",2281.382,9125.528,4,139966.559,95708.174,27457.669,5467.239,NA,NA,0.00316745000838241,"SC333491"
"22","SC333494",1861.0427,18610.427,10,135915.448,93018.361,43338.549,4710.48599999998,NA,NA,0.00645963687330204,"SC333494"
"23","SC333500",1805.62128571429,12639.349,7,129755.492,94933.868,36747.698,2125.81200000001,NA,NA,0.00438708928360071,"SC333500"
"24","SC333501",1946.0263,19460.263,10,134206.141,107102.258,28349.005,5376.48300000001,NA,NA,0.00675461301553991,"SC333501"
"25","SC333516",2475.248,4950.496,2,134060.923,97745.087,28616.147,4950.49599999998,NA,NA,0.00171830589930764,"SC333516"
"26","SC333527",1917.018,11502.108,6,135999.498,103028.188,35510.972,6540.72399999999,NA,NA,0.00399235551970422,"SC333527"
"27","SC333554",1649.5548,8247.774,5,124868.316,103184.878,42026.154,NA,NA,NA,0.0028627835918575,"SC333554"
"28","SC333556",4615.239,23076.195,5,123327.596,99071.624,27591.432,NA,NA,15838.02,0.00800969478655746,"SC333556"
"29","SC333852",2467.249,27139.739,11,124098.675,102810.362,41836.316,9735.20600000001,7282.50599999999,NA,0.00942014166446549,"SC333852"
"30","SC333861",1719.90016666667,10319.401,6,131641.66,92343.514,42984.622,4120.84500000003,NA,NA,0.00358184061064209,"SC333861"
"31","SC333866",1814.3365,10886.019,6,134859.873,103798.689,24465.578,2120.69399999996,NA,NA,0.00377851242939598,"SC333866"
