"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324640",2284.91672727273,25134.084,11,159694.38,117804.116,56724.477,6809.93599999999,5480.70500000002,NA,0.00872398337679575,"SC324640"
"2","SC324646",1792.60330769231,23303.843,13,154763.822,125477.762,45147.463,6112.56799999997,NA,NA,0.00808871088946222,"SC324646"
"3","SC324652",1816.6872,18166.872,10,153121.778,126361.394,45017.44,6316.05599999998,NA,NA,0.00630567994188196,"SC324652"
"4","SC324656",2289.31775,9157.271,4,144461.762,148289.11,34049.456,3903.511,NA,NA,0.00317846793146764,"SC324656"
"5","SC324657",1738.71342857143,12170.994,7,140125.759,113065.162,53114.894,NA,NA,NA,0.00422452432860019,"SC324657"
"6","SC324665",1953.677,15629.416,8,153149.254,130529.709,45169.129,5680.65100000001,NA,NA,0.00542493473695025,"SC324665"
"7","SC324670",2017.20885714286,28240.924,14,149246.688,122001.654,50237.792,12393.711,NA,NA,0.00980236047278875,"SC324670"
"8","SC324671",1786.276,10717.656,6,151699.161,135069.216,46231.513,2179.35999999999,NA,NA,0.00372007401511888,"SC324671"
"9","SC324672",2221.86378571429,31106.093,14,156914.465,127416.968,51052.029,14527.887,4668.71299999999,NA,0.0107968541144791,"SC324672"
"10","SC324674",2767.30775,22138.462,8,150352.501,133887.064,38512.928,8145.26299999998,7438.77500000002,NA,0.00768420979558374,"SC324674"
"11","SC324687",1677.7468,16777.468,10,160191.847,130865.842,44244.354,2442.86699999997,NA,NA,0.00582342097435191,"SC324687"
"12","SC324699",1922.636,19226.36,10,158207.385,116327.384,49348.074,5901.36900000001,NA,NA,0.00667342581636517,"SC324699"
"13","SC324704",1924.85985714286,26948.038,14,164963.653,133190.516,46316.893,14013.107,NA,NA,0.00935360268348193,"SC324704"
"14","SC324706",2087.53983333333,25050.478,12,140646.474,131770.429,50002.464,4613.364,5166.84999999998,NA,0.00869496392439795,"SC324706"
"15","SC324707",1898.05,13286.35,7,141765.986,126786.819,49474.399,4841.93699999998,NA,NA,0.00461166185878468,"SC324707"
"16","SC324720",1807.93318181818,19887.265,11,166908.218,123993.359,48894.506,6590.71600000001,NA,NA,0.00690282443831778,"SC324720"
"17","SC324728",1925.05728571429,13475.401,7,166725.077,127294.125,41364.693,3309.08199999999,NA,NA,0.00467728103079694,"SC324728"
"18","SC324753",2119.83491666667,25438.019,12,153034.054,135925.751,43824.263,7884.86099999998,4148.71000000002,NA,0.00882947852384891,"SC324753"
"19","SC324759",1703.48028571429,11924.362,7,151531.35,124493.066,33048.559,2488.21100000001,NA,NA,0.00413891892248371,"SC324759"
