"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324644",2314.26685714286,16199.868,7,40153.355,36084.379,8791.647,14386.677,NA,NA,0.00562293732838187,"SC324644"
"2","SC324651",2502.23188888889,22520.087,9,42746.549,25703.249,14387.269,14339.827,4683.414,NA,0.00781667096489349,"SC324651"
"3","SC324673",2111.2135,8444.854,4,47331.559,30907.555,11558.796,5222.345,NA,NA,0.00293118961150393,"SC324673"
"4","SC324681",2246.30883333333,13477.853,6,40124.095,30175.141,19148.709,2451.683,4115.208,NA,0.00467813211441868,"SC324681"
"5","SC324683",1917.22875,7668.915,4,43822.367,27478.266,20393.753,2044.24099999999,NA,NA,0.00266186294985167,"SC324683"
"6","SC324694",2560.41914285714,17922.934,7,47110.255,35550.72,13029.573,14512.267,NA,NA,0.00622100961703667,"SC324694"
"7","SC324703",1952.4175,11714.505,6,45785.078,21065.415,14540.145,2521.625,NA,NA,0.00406607803520473,"SC324703"
"8","SC324708",2141.41,17131.28,8,37841.105,35934.735,18149.207,12285.657,NA,NA,0.00594622831463576,"SC324708"
"9","SC324712",1759.5466,8797.733,5,46041.592,37054.821,20629.25,NA,NA,NA,0.00305367310961034,"SC324712"
"10","SC324722",2605.15783333333,15630.947,6,44076.005,30339.767,12994.708,8292.11600000001,4162.33399999999,NA,0.00542546614356726,"SC324722"
"11","SC324725",2448.97375,9795.895,4,38982.664,31537.216,17413.183,NA,4672.88900000001,NA,0.00340013286900914,"SC324725"
"12","SC324734",2063.07677777778,18567.691,9,43393.175,32564.093,21097.816,10148.51,NA,NA,0.0064448033049257,"SC324734"
"13","SC324737",1918.67066666667,5756.012,3,47435.949,40113.227,16556.856,2068.23699999999,NA,NA,0.00199789867037274,"SC324737"
"14","SC324738",2484.60166666667,7453.805,3,45248.953,27474.156,6974.916,7453.80500000001,NA,NA,0.00258719875822318,"SC324738"
"15","SC324743",2314.2965,27771.558,12,48524.538,31127.367,25609.995,9474.924,6215.29800000001,NA,0.00963944460198825,"SC324743"
"16","SC324744",3650.95871428571,25556.711,7,40455.838,31105.065,9223.42499999999,8047.93700000001,NA,12169.427,0.00887067624702667,"SC324744"
"17","SC324746",3690.67125,14762.685,4,44113.242,25367.5,10273.679,4872.89,9889.795,NA,0.00512409437864821,"SC324746"
"18","SC324749",2081.70216666667,12490.213,6,36091.649,31477.717,13283.656,5274.125,NA,NA,0.00433532451728252,"SC324749"
"19","SC324750",2247.43825,8989.753,4,48557.903,31524.375,8225.34,7209.159,NA,NA,0.00312032281476818,"SC324750"
"20","SC324752",2183.4085,8733.634,4,46540.843,31733.92,9003.204,5216.656,NA,NA,0.00303142449253445,"SC324752"
"21","SC324772",2007.331,8029.324,4,44789.901,33799.066,15129.471,2761.45000000001,NA,NA,0.00278696009382746,"SC324772"
"22","SC324779",2175.792,10878.96,5,40634.861,36292.313,11750.154,9321.361,NA,NA,0.00377606226655509,"SC324779"
"23","SC324788",2432.6855,9730.742,4,50029.64,35631.441,10644.234,2070.954,4021.001,NA,0.00337751841093108,"SC324788"
"24","SC324825",2908.4505,5816.901,2,41647.592,27341.792,14157.955,NA,4056.69500000001,NA,0.00201903310375133,"SC324825"
"25","SC333423",1871.6775,7486.71,4,47043.549,28351.317,20221.746,2199.26300000001,NA,NA,0.00259862000886488,"SC333423"
"26","SC333424",1766.5075,3533.015,2,39654.625,33835.535,10992.405,NA,NA,NA,0.00122630146895228,"SC333424"
"27","SC333432",2990.62657142857,20934.386,7,47065.662,37819.073,10892.604,12496.103,5177.41500000001,NA,0.00726627775523571,"SC333432"
"28","SC333437",1709.7145,3419.429,2,46979.281,37022.63,10745.991,NA,NA,NA,0.00118687602675846,"SC333437"
"29","SC333441",2038.35957142857,14268.517,7,50300.868,28822.602,18438.743,7638.678,NA,NA,0.00495256979007183,"SC333441"
"30","SC333445",3038.70055555556,27348.305,9,42780.928,28719.285,10125.274,14932.461,9200.12699999999,NA,0.00949253444858146,"SC333445"
"31","SC333447",2208.482,15459.374,7,51493.334,28795.224,19332.644,10226.239,NA,NA,0.00536591354559285,"SC333447"
"32","SC333469",2400.17,9600.68,4,49186.042,34267.456,19428.323,NA,4882.73700000001,NA,0.00333237418661987,"SC333469"
"33","SC333476",2137.469,4274.938,2,40441.34,33623.661,13394.81,2554.193,NA,NA,0.00148382125439035,"SC333476"
"34","SC333496",2399.322,26392.542,11,42294.402,22177.708,18046.856,17621.217,NA,NA,0.00916079128562568,"SC333496"
"35","SC333503",1688.165,6752.66,4,47589.439,23380,11453.524,2039.905,NA,NA,0.00234383292381587,"SC333503"
"36","SC333511",1824.7195,3649.439,2,43271.805,25236.598,7206.905,NA,NA,NA,0.00126671197448971,"SC333511"
"37","SC333529",2669.106,13345.53,5,43017.478,33751.689,16148.633,2494.978,5712.51999999999,NA,0.00463220310215121,"SC333529"
"38","SC333530",2144.54225,8578.169,4,41220.211,30567.854,14149.306,5020.30500000001,NA,NA,0.00297746294471462,"SC333530"
"39","SC333534",2090.028,8360.112,4,47073.748,31511.212,18206.474,3151.205,NA,NA,0.00290177585609051,"SC333534"
"40","SC333535",2193.3365,13160.019,6,46680.875,31670.076,14379.028,6073.43799999999,NA,NA,0.00456781265608551,"SC333535"
"41","SC333591",5460.696,5460.696,1,44709.741,35351.241,16161.415,NA,5460.696,NA,0.00189539515861151,"SC333591"
"42","SC333592",1784.302,3568.604,2,43284.067,33359.756,14437.303,2057.57799999999,NA,NA,0.00123865432988793,"SC333592"
"43","SC333836",2091.041,4182.082,2,45941.718,27447.393,10091.217,4182.08200000001,NA,NA,0.00145159114803614,"SC333836"
"44","SC333837",2627.459,7882.377,3,46544.259,35068.549,16273.803,5916.898,NA,NA,0.00273595512442933,"SC333837"
"45","SC333843",1736.399,5209.197,3,45715.707,34025.402,17318.644,NA,NA,NA,0.00180810042786737,"SC333843"
"46","SC333845",1683.88,5051.64,3,53875.638,35585.453,9385.371,NA,NA,NA,0.0017534127516068,"SC333845"
"47","SC333850",2332.12983333333,13992.779,6,47822.14,35962.57,13208.612,7270.74000000001,NA,NA,0.00485686175757098,"SC333850"
"48","SC333877",2430.76925,9723.077,4,41330.803,29234.206,9173.734,7724.534,NA,NA,0.00337485790686882,"SC333877"
"49","SC333886",1787.043,14296.344,8,41785.935,18692.545,19551.569,2569.732,NA,NA,0.00496222847846588,"SC333886"
"50","SC333892",2401.9128,12009.564,5,41210.829,41994.163,12024.309,8801.17999999999,NA,NA,0.00416849234285064,"SC333892"
"51","SC333895",2209.36628571429,15465.564,7,47155.704,38958.916,16859.233,8749.40299999999,NA,NA,0.00536806208051071,"SC333895"
"52","SC333901",2188.881,8755.524,4,50125.342,23103.65,12316.005,5201.781,NA,NA,0.00303902246173508,"SC333901"
"53","SC333908",3295.9364,16479.682,5,46391.418,35371.084,10593.624,3072.113,9960.984,NA,0.00572006013120988,"SC333908"
"54","SC333940",2252.6005,4505.201,2,35913.664,31809.708,4522.674,4505.201,NA,NA,0.00156374501784603,"SC333940"
"55","SC333946",2310.68414285714,16174.789,7,52576.191,22809.957,15022.583,11017.228,NA,NA,0.00561423246453616,"SC333946"
