"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324650",7945.35552,198633.888,25,124913.333,71119.749,29292.469,28267.102,29647.478,137507.168,0.0689453706361572,"SC324650"
"2","SC324736",1903.7364,9518.682,5,135649.689,88515.9,24540.008,2747.859,NA,NA,0.00330391286736389,"SC324736"
"3","SC324789",1968.61341666667,23623.361,12,128044.72,106054.824,34922.884,4385.19199999998,4613.71600000001,NA,0.00819961486036432,"SC324789"
"4","SC324813",2057.1694,10285.847,5,113438.222,89573.459,29633.395,3635.242,NA,NA,0.00357019409357685,"SC324813"
"5","SC324820",4558.39,54700.68,12,119399.287,87096.261,39274.448,7790.46799999999,16111.309,23730.177,0.0189864815849037,"SC324820"
"6","SC333430",1920.88318181818,21129.715,11,137780.388,102789.422,44749.175,9323.17600000004,NA,NA,0.00733407600676563,"SC333430"
"7","SC333436",2199.003125,17592.025,8,124598.139,95842.364,24967.966,10638.82,NA,NA,0.00610615185594889,"SC333436"
"8","SC333446",2155.3497,21553.497,10,146871.921,115938.139,30382.281,11169.773,NA,NA,0.00748116977486894,"SC333446"
"9","SC333478",1962.220875,15697.767,8,114441.45,90031.249,35810.545,5414.70299999998,NA,NA,0.00544865921355292,"SC333478"
"10","SC333485",1941.19225,31059.076,16,152304.731,137665.67,58787.41,2036.984,5094.65500000003,NA,0.0107805346207419,"SC333485"
"11","SC333502",1893.1314,9465.657,5,106649.111,96608.659,31664.729,2890.43699999998,NA,NA,0.00328550801049485,"SC333502"
"12","SC333543",5097.92634782609,117252.306,23,124884.114,84046.223,34378.208,18880.826,19653.451,66472.971,0.0406980086656418,"SC333543"
"13","SC333549",2236.84,13421.04,6,112046.942,88440.411,22609.363,4283.47100000002,4121.84399999998,NA,0.00465841245136727,"SC333549"
"14","SC333558",1704.4515,3408.903,2,118761.578,83129.27,18129.53,NA,NA,NA,0.00118322247610492,"SC333558"
"15","SC333598",1817.763,12724.341,7,111753.979,88398.737,35348.42,2461.234,NA,NA,0.00441658981344539,"SC333598"
"16","SC333867",1768.39128571429,12378.739,7,118509.514,89113.456,40628.962,2013.041,NA,NA,0.00429663214548393,"SC333867"
"17","SC333870",2006.11328571429,14042.793,7,125719.099,115866.864,39818.486,5754.78899999999,NA,NA,0.00487422150319,"SC333870"
"18","SC333871",1759.905,8799.525,5,118601.921,109479.758,42728.243,2042.38199999998,NA,NA,0.00305429510873357,"SC333871"
"19","SC333912",2337.40605882353,39735.903,17,131878.966,107791.448,46248.769,19940.459,4588.38400000002,NA,0.0137922415328113,"SC333912"
"20","SC333960",1880.18271428571,13161.279,7,117179.594,100635.048,44969.774,3360.31399999995,NA,NA,0.00456824999921903,"SC333960"
"21","SC334059",1823.33253846154,23703.323,13,138744.927,111141.079,37931.273,6566.75400000002,NA,NA,0.00822736948865216,"SC334059"
"22","SC334060",1721.0994,8605.497,5,102806.393,77192.968,24307.86,2029.78100000002,NA,NA,0.0029869484313439,"SC334060"
"23","SC334062",2188.36554545455,24072.021,11,131647.06,125006.394,46146.96,12282.36,NA,NA,0.00835534372567062,"SC334062"
"24","SC334065",3948.81466666667,47385.776,12,114034.454,93966.84,30522.663,7160.14800000002,15845.6,13805.456,0.0164474950477832,"SC334065"
"25","SC334066",1827.7219375,29243.551,16,129730.815,103532.816,62211.64,6993.68400000001,NA,NA,0.0101503700235298,"SC334066"
"26","SC334067",1884.758,3769.516,2,94727.887,75684.633,24348.25,2266.44,NA,NA,0.00130839042801662,"SC334067"
"27","SC334068",2015.92509090909,22175.176,11,133160.901,106036.975,55359.47,12176.288,NA,NA,0.00769695314146002,"SC334068"
"28","SC334069",3659.9562,18299.781,5,111091.33,93172.23,32282.437,NA,NA,11170.946,0.00635181235341629,"SC334069"
"29","SC334070",1524.088,1524.088,1,129301.164,100176.45,28510.403,NA,NA,NA,0.00052900747752629,"SC334070"
"30","SC334071",1999.03291666667,23988.395,12,129723.133,117101.453,38534.771,14306.816,NA,NA,0.00832631733131832,"SC334071"
"31","SC334073",1730.89125,13847.13,8,117503.189,125300.844,39970.978,NA,NA,NA,0.00480630732101993,"SC334073"
"32","SC334077",1888.09072727273,20768.998,11,125076.757,118877.108,44464.915,5074.83399999997,NA,NA,0.00720887195669053,"SC334077"
"33","SC334079",6380.0576,63800.576,10,111741.7,90376.11,32249.508,3145.62,10731.764,41196.775,0.0221450347843985,"SC334079"
"34","SC334080",2671.378,5342.756,2,116177.297,110351.312,18709.403,3576.91900000002,NA,NA,0.00185445845292296,"SC334080"
"35","SC334243",2432.4355,19459.484,8,116805.397,85173.067,32555.629,4997.32500000001,5441.35999999999,NA,0.00675434262641212,"SC334243"
"36","SC334319",2290.7418,22907.418,10,139405.122,103428.731,26432.03,16162.947,NA,NA,0.0079511126738222,"SC334319"
"37","SC334640",2221.24066666667,13327.444,6,128772.795,89468.894,30578.998,8147.02299999999,NA,NA,0.00462592549269654,"SC334640"
"38","SC358810",1925.33527272727,21178.688,11,136102.77,130019.078,53899.054,9630.87800000003,NA,NA,0.0073510744236529,"SC358810"
"39","SC358914",2477.25728571429,17340.801,7,139810.377,116398.506,44156.89,7035.01699999999,5141.96500000003,NA,0.00601895257707912,"SC358914"
"40","SC358915",1940.472,13583.304,7,114878.474,87743.682,29787.112,4929.70799999998,NA,NA,0.00471473391661949,"SC358915"
"41","SC358920",5332.038625,42656.309,8,120076.639,99396.633,25863.625,7015.277,NA,28906.671,0.0148059078115384,"SC358920"
"42","SC358932",2315.41875,18523.35,8,116466.034,100428.099,33200.854,13574.39,NA,NA,0.0064294126447007,"SC358932"
"43","SC371873",2028.85533333333,12173.132,6,126333.478,103256.875,34899.359,7062.47499999998,NA,NA,0.00422526642353628,"SC371873"
"44","SC371892",2413.436,16894.052,7,124381.663,105217.178,23853.757,15358.312,NA,NA,0.00586388701552533,"SC371892"
"45","SC371903",1827.46014285714,12792.221,7,131478.958,97303.414,25820.625,4542.03200000001,NA,NA,0.00444015080701957,"SC371903"
"46","SC371907",2292.799,18342.392,8,118113.498,92819.953,32388.588,4789.397,5106.87100000001,NA,0.00636660253457701,"SC371907"
"47","SC380885",2103.23358333333,25238.803,12,126496.719,120209.335,45540.336,8720.28599999996,4253.37400000001,NA,0.00876033110346185,"SC380885"
