"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC334167",2106.3462,10531.731,5,119496.294,91693.612,30935.233,5444.39000000001,NA,NA,0.00365553987059503,"SC334167"
"2","SC334168",2103.934,8415.736,4,124058.638,71080.03,22484.835,3094.83300000001,NA,NA,0.00292108281994687,"SC334168"
"3","SC334169",2036.13525,8144.541,4,102039.166,79619.312,15253.17,2901.69100000002,NA,NA,0.00282695165241078,"SC334169"
"4","SC334170",5219.77157142857,36538.401,7,102006.156,90063.994,27709.68,10328.395,NA,22334.587,0.0126823958628728,"SC334170"
"5","SC334171",2148.89145454545,23637.806,11,116578.042,92949.247,27859.208,13345.183,NA,NA,0.0082046286870022,"SC334171"
"6","SC334172",1992.04875,15936.39,8,108670.153,89579.952,30453.607,6069.264,NA,NA,0.00553148471398974,"SC334172"
"7","SC334173",3297.222,49458.33,15,116256.828,77948.816,25254.44,18500.164,15852.051,8253.903,0.0171668738261589,"SC334173"
"8","SC334174",2507.0835,20056.668,8,101883.596,77172.868,19078.612,10826.678,4271.12000000002,NA,0.0069616238342289,"SC334174"
"9","SC334176",2607.534,23467.806,9,86694.443,61988.091,28296.643,5181.77100000001,7966.109,NA,0.00814562207374924,"SC334176"
"10","SC334177",6403.9944,32019.972,5,92669.327,72681.291,17832,NA,11299.023,17276.152,0.0111140594363202,"SC334177"
"11","SC334178",4479.0336,22395.168,5,98315.873,71597.236,9063.74900000001,5532.68700000001,NA,13748.988,0.00777331186418205,"SC334178"
"12","SC334179",2495.48877777778,22459.399,9,98472.538,69257.926,23816.367,12745.146,4805.72199999998,NA,0.00779560629815764,"SC334179"
"13","SC334181",3073.50283333333,18441.017,6,107112.905,83297.644,17119.961,7400.823,7834.685,NA,0.00640083504770685,"SC334181"
"14","SC334183",1934.93757142857,13544.563,7,101878.466,74791.03,19053.589,6496.59700000001,NA,NA,0.00470128700365459,"SC334183"
"15","SC334184",5832.41,5832.41,1,103980.622,82613.861,11323.924,NA,5832.41,NA,0.00202441624236862,"SC334184"
"16","SC334185",2248.81222222222,20239.31,9,100454.944,67269.845,22770.645,11641.442,NA,NA,0.00702501845692153,"SC334185"
"17","SC334186",3592.2454,53883.681,15,91641.426,61251.842,15332.66,22686.059,27600.631,NA,0.0187029030906623,"SC334186"
"18","SC334190",3954.83884615385,51412.905,13,91125.732,85098.193,15430.528,10748.142,25585.92,9624.451,0.0178453023620347,"SC334190"
"19","SC334215",3033.23222222222,27299.09,9,120262.295,72188.583,32398.355,10000.883,11949.277,NA,0.00947545203404473,"SC334215"
"20","SC334216",1667.91025,13343.282,8,114673.285,84089.94,36539.418,2196.82699999999,NA,NA,0.00463142282646537,"SC334216"
