"","levels.dat.IID.","mean","sum","length","cl1","cl2","cl3","cl4","cl5","cl6","Froh","IID"
"1","SC324639",2717.158,2717.158,1,49682.1,44548.248,4833.719,2717.15800000001,NA,NA,0.000943119360312777,"SC324639"
"2","SC324649",2242.1634,11210.817,5,47912.55,35349.256,12332.577,5671.75999999999,NA,NA,0.00389124907628618,"SC324649"
"3","SC324658",2739.46466666667,8218.394,3,52207.095,33950.087,12564.009,2060.00099999999,4419.72900000001,NA,0.00285258586069649,"SC324658"
"4","SC324661",2740.3476,13701.738,5,53185.127,34371.25,10552.396,7516.13499999999,4631.765,NA,0.0047558420885842,"SC324661"
"5","SC324664",1659.25,6637,4,56422.959,37222.006,23263.593,NA,NA,NA,0.00230368760094036,"SC324664"
"6","SC324668",1865.26325,7461.053,4,53566.896,36766.387,12732.243,2446.766,NA,NA,0.0025897145225341,"SC324668"
"7","SC324717",2171.61266666667,6514.838,3,54925.267,34721.939,11526.423,2909.985,NA,NA,0.00226128544865678,"SC324717"
"8","SC324727",2376.88525,9507.541,4,47617.798,44524.284,13714.386,6240.14600000001,NA,NA,0.00330004585160947,"SC324727"
"9","SC324754",2391.8796,11959.398,5,53282.985,32908.986,18530.532,2030.655,4741.959,NA,0.00415107983837742,"SC324754"
"10","SC324758",1771.68083333333,10630.085,6,47171.355,32802.86,18184.621,2188.11600000001,NA,NA,0.00368967832024139,"SC324758"
"11","SC324760",2568.74116666667,15412.447,6,48015.524,33846.328,19526.379,6845.333,5333.777,NA,0.00534962529065096,"SC324760"
"12","SC324806",8104.023,16208.046,2,45795.198,28433.366,7814.272,NA,NA,14442.194,0.00562577589357706,"SC324806"
"13","SC324818",2264.632,2264.632,1,47016.608,40214.701,9517.66500000001,2264.632,NA,NA,0.000786048615201561,"SC324818"
"14","SC324824",2502.0485,5004.097,2,52875.484,36913.7,19008.532,3079.79399999999,NA,NA,0.0017369106844663,"SC324824"
"15","SC324828",2871.60928571429,20101.265,7,46468.664,44578.75,14676.032,5211.622,9907.505,NA,0.0069771033514715,"SC324828"
"16","SC333419",3931.58325,15726.333,4,51758.523,32270.811,10290.592,NA,4155.83499999999,8448.244,0.00545857440716576,"SC333419"
"17","SC333450",1968.7675,7875.07,4,53810.775,39360.661,11127.671,2992.177,NA,NA,0.00273341888135263,"SC333450"
"18","SC333463",1516.703,1516.703,1,54736.658,31271.205,10770.445,NA,NA,NA,0.000526444160827037,"SC333463"
"19","SC333470",2233.3695,8933.478,4,50239.49,36435.732,12807.464,7289.18799999999,NA,NA,0.00310078989029282,"SC333470"
"20","SC333483",2245.473,6736.419,3,50599.356,31442.192,13914.398,3335.13500000001,NA,NA,0.00233819570966386,"SC333483"
"21","SC333492",2860.894,2860.894,1,50632.399,34777.039,5681.85900000001,2860.894,NA,NA,0.000993009798915875,"SC333492"
"22","SC333512",3060.38077777778,27543.427,9,46914.382,31393.493,14099.51,9931.008,NA,9187.068,0.0095602608508823,"SC333512"
"23","SC333555",1823.94266666667,10943.656,6,51104.787,33210.9,19880.011,2710.25199999999,NA,NA,0.00379851810097281,"SC333555"
"24","SC333844",4092.451125,32739.609,8,48294.31,43758.265,14689.84,10512.213,NA,17096.801,0.0113638438018586,"SC333844"
"25","SC333859",2126.8718,10634.359,5,52353.149,30615.7,18965.338,3151.48699999999,NA,NA,0.00369116181591811,"SC333859"
"26","SC333860",1670.436,3340.872,2,56843.201,35752.173,10328.463,NA,NA,NA,0.00115960907077427,"SC333860"
"27","SC333880",1995.35575,15962.846,8,51876.138,36534.233,20093.591,7738.049,NA,NA,0.0055406675314028,"SC333880"
"28","SC333883",2098.17225,8392.689,4,46339.29,37532.694,10278.199,4942.85799999999,NA,NA,0.0029130832586784,"SC333883"
"29","SC333884",1851.02366666667,5553.071,3,44565.867,41407.357,13875.091,2279.463,NA,NA,0.00192745831095999,"SC333884"
"30","SC333889",1716.905,1716.905,1,43216.134,30208.642,13674.615,NA,NA,NA,0.000595933819570966,"SC333889"
"31","SC333890",2631.34525,10525.381,4,49443.903,40084.554,7810.19900000001,10525.381,NA,NA,0.00365333580004117,"SC333890"
"32","SC333909",NA,NA,NA,42238.707,35171.564,7620.24900000001,NA,NA,NA,NA,"SC333909"
"33","SC333950",1756.085,1756.085,1,46287.564,37309.357,6312.95699999999,NA,NA,NA,0.000609533108437147,"SC333950"
"34","SC334034",2590.095,2590.095,1,52579.837,32951.431,12970.302,2590.09499999999,NA,NA,0.000899016082078893,"SC334034"
"35","SC334035",2295.35016666667,13772.101,6,53435.536,38611.53,13842.898,9982.03499999999,NA,NA,0.0047802649258096,"SC334035"
"36","SC334037",5309.7725,10619.545,2,54647.585,39497.543,11526.372,2323.06299999999,NA,8296.482,0.0036860199102197,"SC334037"
"37","SC334038",4758.8165,19035.266,4,49711.374,35509.022,11789.264,NA,NA,13762.167,0.0066070975237007,"SC334038"
"38","SC334040",4457.41928571429,31201.935,7,48334.305,35739.839,23521.15,2745.232,NA,21719.824,0.0108301206546402,"SC334040"
"39","SC334041",1842.024,5526.072,3,53723.245,37484.356,12842.936,NA,NA,NA,0.00191808701948225,"SC334041"
"40","SC334042",1864.857,5594.571,3,55021.932,32639.325,12452.169,2232.931,NA,NA,0.00194186286654821,"SC334042"
"41","SC334045",2299.75475,9199.019,4,51393.212,40045.264,10632.612,7551.902,NA,NA,0.00319295856729166,"SC334045"
"42","SC334047",1823.42885714286,12764.002,7,58030.718,29469.012,23620.885,2575.68299999999,NA,NA,0.0044303560563173,"SC334047"
"43","SC334048",1699.773,3399.546,2,38472.414,31794.013,11670.175,NA,NA,NA,0.00117997468269194,"SC334048"
"44","SC334056",1846.794,3693.588,2,48521.233,38807.117,10016.587,2039.00499999999,NA,NA,0.0012820359919515,"SC334056"
"45","SC334117",5657.808125,45262.465,8,53862.711,38816.604,13997.864,10254.69,NA,33042.338,0.0157104986301788,"SC334117"
"46","SC334118",NA,NA,NA,47895.959,35827.134,7070.78300000001,NA,NA,NA,NA,"SC334118"
"47","SC334119",2289.57725,9158.309,4,53129.014,42348.174,9981.955,5648.95700000001,NA,NA,0.00317882821890621,"SC334119"
"48","SC334120",1866.426,9332.13,5,48169.295,38972.337,18420.24,2052.59999999999,NA,NA,0.00323916109256645,"SC334120"
"49","SC334121",NA,NA,NA,47546.971,36067.781,7281.68700000001,NA,NA,NA,NA,"SC334121"
"50","SC334122",2480.91475,9923.659,4,39187.915,33421.256,13787.271,NA,4261.611,NA,0.00344447946274826,"SC334122"
"51","SC334123",3994.2165,7988.433,2,46005.01,36975.335,10778.843,NA,6279.72100000001,NA,0.00277276692075377,"SC334123"
"52","SC334124",2874.65333333333,8623.96,3,46760.857,41887.349,12439.325,2323.95699999999,4658.86600000001,NA,0.00299335689664089,"SC334124"
"53","SC334125",1933.59866666667,5800.796,3,42670.904,31376.081,15703.987,2058.648,NA,NA,0.00201344309488992,"SC334125"
"54","SC334126",1795.575,5386.725,3,46850.832,30267.894,12642.5,2337.318,NA,NA,0.00186971999279425,"SC334126"
"55","SC334127",1866.31371428571,13064.196,7,49766.372,37057.493,20340.135,6264.732,NA,NA,0.00453455271078117,"SC334127"
"56","SC334128",1517.764,1517.764,1,51602.058,36838.382,13877.629,NA,NA,NA,0.00052681243151328,"SC334128"
"57","SC334130",2408.331,16858.317,7,45607.861,41660.154,19093.802,13356.066,NA,NA,0.00585148347832184,"SC334130"
"58","SC334131",1958.21142857143,13707.48,7,42379.622,30477.428,16856.481,8870.261,NA,NA,0.00475783512372125,"SC334131"
"59","SC334134",2302.52375,9210.095,4,44164.419,35646.957,7796.981,5751.63799999999,NA,NA,0.00319680302169395,"SC334134"
"60","SC334135",2257.29633333333,13543.778,6,52413.549,45528.806,13575.515,8733.068,NA,NA,0.00470101453194045,"SC334135"
"61","SC334136",2362.2398,11811.199,5,46330.344,40855.958,11305.209,8226.47,NA,NA,0.00409964030262756,"SC334136"
"62","SC334137",2330.1575,13980.945,6,44033.891,38983.508,15248.763,8500.909,NA,NA,0.00485275420309313,"SC334137"
"63","SC334154",NA,NA,NA,54806.496,29940.498,13020.308,NA,NA,NA,NA,"SC334154"
"64","SC334163",1593.796,1593.796,1,50811.908,37952.195,8800.46799999999,NA,NA,NA,0.000553202965741802,"SC334163"
"65","SC334166",NA,NA,NA,47617.045,30285.666,15837.898,NA,NA,NA,NA,"SC334166"
"66","SC334194",1801.04666666667,10806.28,6,52859.619,41951.818,16214.33,4052.56999999999,NA,NA,0.00375083520390082,"SC334194"
"67","SC334200",1888.28,1888.28,1,42349.528,39898.451,14470.392,NA,NA,NA,0.00065541769219582,"SC334200"
"68","SC334205",2859.19766666667,8577.593,3,46660.173,39807.324,10421.038,8577.59299999999,NA,NA,0.00297726301642501,"SC334205"
"69","SC334209",2635.619,2635.619,1,47557.628,37922.978,8696.995,2635.61900000001,NA,NA,0.000914817358912585,"SC334209"
"70","SC334239",2080.461,8321.844,4,55373.34,33665.299,8018.967,5165.489,NA,NA,0.00288849312034954,"SC334239"
"71","SC334250",1985.4796,19854.796,10,52146.413,39059.745,23264.007,11452.846,NA,NA,0.0068915545222842,"SC334250"
"72","SC334291",2117.6338,10588.169,5,41102.532,32251.438,13010.807,5498.75199999999,NA,NA,0.00367512937199956,"SC334291"
"73","SC334294",1736.8595,3473.719,2,51582.484,42366.877,14603.961,NA,NA,NA,0.00120571996224965,"SC334294"
"74","SC334648",2151.02688888889,19359.242,9,49812.88,38502.429,20884.507,11443.503,NA,NA,0.00671954885626093,"SC334648"
"75","SC358789",2034.094,6102.282,3,51908.696,34364.977,9105.29700000001,2745.57799999999,NA,NA,0.00211808819961451,"SC358789"
"76","SC358798",2322.02866666667,6966.086,3,52662.903,33467.104,14202.291,3436.39200000001,NA,NA,0.00241791260287543,"SC358798"
"77","SC358825",1824.39,7297.56,4,44831.622,39761.405,7882.253,2588.38099999999,NA,NA,0.00253296647417784,"SC358825"
"78","SC358867",2070.814,6212.442,3,53732.035,33121.774,15543.04,3037.978,NA,NA,0.00215632448500243,"SC358867"
"79","SC358870",2893.2176,14466.088,5,52035.135,35949.648,15466.829,8416.648,4250.23400000001,NA,0.00502114623470123,"SC358870"
"80","SC358927",1590.818,3181.636,2,46937.46,37008.805,15107.224,NA,NA,NA,0.0011043386174334,"SC358927"
"81","SC358928",2689.295,5378.59,2,51068.828,43087.288,13013.043,3810.868,NA,NA,0.00186689635280123,"SC358928"
"82","SC358936",1709.0075,6836.03,4,39740.139,43243.245,17013.115,NA,NA,NA,0.00237277046115057,"SC358936"
"83","SC358939",2376.62125,9506.485,4,51669.492,25501.461,8965.785,6423.012,NA,NA,0.00329967931641186,"SC358939"
"84","SC358942",1886.45433333333,5659.363,3,49796.617,32859.255,12617.793,2448.52100000001,NA,NA,0.00196435202234754,"SC358942"
"85","SC358954",2382.73225,9530.929,4,52305.793,32781.13,17842.359,6114.38099999999,NA,NA,0.00330816377320218,"SC358954"
"86","SC359164",1795.1845,3590.369,2,48877.484,32181.986,11510.999,NA,NA,NA,0.00124620891187293,"SC359164"
"87","SC359178",1824.9548,9124.774,5,51869.507,34272.011,13672.501,2282.47199999999,NA,NA,0.00316718829669775,"SC359178"
"88","SC359224",1918.454,7673.816,4,41907.448,40325.789,16410.096,4454.111,NA,NA,0.00266356407580198,"SC359224"
"89","SC371777",1907.7305,3815.461,2,50527.41,40601.732,11139.611,2005.46000000001,NA,NA,0.00132433783299254,"SC371777"
"90","SC371801",1642.683,4928.049,3,52213.354,41192.478,10013.649,NA,NA,NA,0.00171051459667418,"SC371801"
"91","SC371804",1954.773,5864.319,3,42707.565,40060.349,12165.78,2352.787,NA,NA,0.0020354917836762,"SC371804"
"92","SC371806",6242.5886,31212.943,5,50764.237,45869.911,18262.156,10350.149,NA,19178.217,0.0108339415063972,"SC371806"
"93","SC371812",1641.119,1641.119,1,52016.686,32957.578,22490.62,NA,NA,NA,0.000569628671382799,"SC371812"
"94","SC371816",1680.729,1680.729,1,49618.769,39900.4,6392.042,NA,NA,NA,0.000583377212270738,"SC371816"
"95","SC371822",2280.51283333333,13683.077,6,43781.521,33090.071,15036.544,10533.04,NA,NA,0.00474936489793765,"SC371822"
"96","SC372246",1561.87833333333,4685.635,3,48637.594,47866.043,11338.392,NA,NA,NA,0.00162637324876182,"SC372246"
"97","SC372250",1800.01525,7200.061,4,43978.375,29897.427,13591.514,2306.45699999999,NA,NA,0.00249912479308637,"SC372250"
"98","SC372256",1883.5015,3767.003,2,48350.217,38502.94,14150.393,2021.01299999999,NA,NA,0.00130751817143365,"SC372256"
"99","SC372259",1663.105,3326.21,2,47972.317,32900.184,11582.859,NA,NA,NA,0.00115451992393006,"SC372259"
"100","SC387215",2125.229,4250.458,2,46440.835,29929.157,4569.288,4250.458,NA,NA,0.00147532430208193,"SC387215"
